Date,Prediction,Actual,Current_Time
2024-03-04,18236.1953125,18226.48046875,
2024-03-05,18231.216796875,17897.869140625,
2024-03-06,18486.5390625,18017.5703125,
2024-03-07,18196.087890625,18297.990234375,
2024-03-08,18038.611328125,18018.44921875,
2024-03-11,18159.525390625,17951.689453125,
2024-03-12,17797.37890625,18219.109375,
2024-03-13,18115.8828125,18068.470703125,
2024-03-14,18032.912109375,18014.810546875,
2024-03-15,17960.275390625,17808.25,
2024-03-18,17562.50390625,17985.009765625,
2024-03-19,18051.931640625,18032.19921875,
2024-03-20,17718.458984375,18240.109375,
2024-03-21,18288.712890625,18320.380859375,
2024-03-22,17924.76953125,18339.439453125,
2024-03-25,18074.783203125,18277.060546875,
2024-03-26,18049.294921875,18210.5390625,
2024-03-27,18055.9921875,18280.83984375,
2024-03-28,18190.55078125,18254.689453125,
2024-03-28,18419.16015625,18254.689453125,
2024-04-01,18420.298828125,18293.19921875,
2024-04-02,18259.732421875,18121.779296875,
2024-04-03,18412.708984375,18160.189453125,
2024-04-04,18176.966796875,17878.779296875,
2024-04-05,18249.78125,18108.4609375,
2024-04-08,18196.046875,18100.189453125,
2024-04-09,18128.51953125,18169.900390625,
2024-04-10,18040.8359375,18011.66015625,
2024-04-11,18085.310546875,18307.98046875,
2024-04-12,18044.27734375,18003.490234375,
2024-04-15,18058.0390625,17706.830078125,
2024-04-16,18066.52734375,17713.66015625,
2024-04-17,17993.98046875,17493.619140625,
2024-04-18,17875.9140625,17394.310546875,
2024-04-19,17868.62890625,17037.650390625,
2024-04-22,18062.830078125,17210.890625,
2024-04-23,17431.927734375,17471.470703125,
2024-04-24,17671.76953125,17526.80078125,
2024-04-25,17591.875,17430.5,
2024-04-26,17067.076171875,17718.30078125,
2024-04-29,17689.98828125,17782.720703125,
2024-04-30,17206.984375,17440.689453125,
2024-05-01,17039.6484375,17318.55078125,
2024-05-02,17278.3203125,17541.5390625,
2024-05-03,17224.923828125,17890.80078125,
2024-05-06,17761.94921875,18093.5703125,
2024-05-07,17727.80078125,18091.44921875,
2024-05-08,17682.2578125,18085.009765625,
2024-05-09,17986.283203125,18113.4609375,
2024-05-10,17956.65234375,18161.1796875,
2024-05-13,17955.38671875,18198.609375,
2024-05-14,18017.421875,18322.76953125,
2024-05-15,18257.95703125,18596.650390625,
2024-05-16,18465.462890625,18557.9609375,
2024-05-17,18151.943359375,18546.23046875,
2024-05-20,18329.80078125,18674.189453125,
2024-05-21,18322.693359375,18713.80078125,
2024-05-22,18042.5859375,18705.19921875,
2024-05-23,18219.59375,18623.390625,
2024-05-24,17603.244140625,18808.349609375,
2024-05-24,17562.2734375,18808.349609375,
2024-05-28,17735.14453125,18869.439453125,
2024-05-29,18141.328125,18736.75,
2024-05-30,18108.533203125,18538.66015625,
2024-05-31,17945.8359375,18536.650390625,
2024-06-03,18500.666015625,18600.970703125,
2024-06-04,18371.716796875,18654.83984375,
2024-06-05,18591.041015625,19035.05078125,
2024-06-06,18494.484375,19021.189453125,
2024-06-07,18468.826171875,19000.94921875,
2024-06-10,18440.626953125,19074.669921875,
2024-06-11,18742.201171875,19210.1796875,
2024-06-12,18868.330078125,19465.1796875,
2024-06-13,19109.30859375,19576.919921875,
2024-06-14,19182.904296875,19659.80078125,
2024-06-17,19272.08984375,19902.75,
2024-06-18,19795.21484375,19908.859375,
2024-06-18,19736.138671875,19908.859375,
2024-06-20,19625.8046875,19752.30078125,
2024-06-21,18909.56640625,19700.4296875,
2024-06-24,18646.68359375,19474.619140625,
2024-06-25,19447.375,19701.130859375,
2024-06-26,19136.951171875,19751.05078125,
2024-06-27,17963.44921875,19789.029296875,
2024-06-28,19534.44921875,19682.869140625,
2024-07-01,19129.353515625,19812.220703125,
2024-07-02,19420.830078125,20011.890625,
2024-07-03,19899.240234375,20186.630859375,
2024-07-03,20100.416015625,20186.630859375,2024-11-29 23:57:38
2024-07-05,20002.36328125,20391.970703125,2024-11-30 00:00:01
2024-07-08,20501.193359375,20439.5390625,2024-11-30 00:02:24
2024-07-09,19795.041015625,20453.01953125,2024-11-30 00:04:46
2024-07-10,20423.322265625,20675.380859375,2024-11-30 00:07:09
2024-07-11,20532.712890625,20211.359375,2024-11-30 00:09:30
2024-07-12,20322.404296875,20331.490234375,2024-11-30 00:11:51
2024-07-15,19900.294921875,20386.880859375,2024-11-30 00:14:14
2024-07-16,20662.251953125,20398.619140625,2024-11-30 00:16:38
2024-07-17,20710.134765625,19799.140625,2024-11-30 00:19:03
2024-07-18,19632.353515625,19705.08984375,2024-11-30 00:21:26
2024-07-19,19210.640625,19522.619140625,2024-11-30 00:23:49
2024-07-22,19567.984375,19822.869140625,2024-11-30 00:26:11
2024-07-23,18814.486328125,19754.33984375,2024-11-30 00:28:30
2024-07-24,19537.658203125,19032.390625,2024-11-30 00:30:50
2024-07-25,19714.2265625,18830.580078125,2024-11-30 00:33:13
2024-07-26,18191.15234375,19023.66015625,2024-11-30 00:35:32
2024-07-29,18618.29296875,19059.490234375,2024-11-30 00:37:56
2024-07-30,18879.63671875,18796.26953125,2024-11-30 00:40:16
2024-07-31,18809.84375,19362.4296875,2024-11-30 00:42:39
2024-08-01,19471.306640625,18890.390625,2024-11-30 00:45:02
2024-08-02,18902.380859375,18440.849609375,2024-11-30 00:47:24
2024-08-05,18673.388671875,17895.16015625,2024-11-30 00:49:46
2024-08-06,17463.228515625,18077.919921875,2024-11-30 00:52:07
2024-08-07,17341.09765625,17867.369140625,2024-11-30 00:54:31
2024-08-08,17470.49609375,18413.8203125,2024-11-30 00:56:55
2024-08-09,18335.98828125,18513.099609375,2024-11-30 00:59:18
2024-08-12,17429.517578125,18542.029296875,2024-11-30 01:01:40
2024-08-13,18128.33984375,19006.4296875,2024-11-30 01:04:03
2024-08-14,18830.3984375,19022.6796875,2024-11-30 01:06:26
2024-08-15,19174.8203125,19490.150390625,2024-11-30 01:08:49
2024-08-16,19677.904296875,19508.51953125,2024-11-30 01:11:12
2024-08-19,19433.3671875,19766.490234375,2024-11-30 01:13:35
2024-08-20,19603.90234375,19719.8203125,2024-11-30 01:15:58
2024-08-21,19926.77734375,19824.83984375,2024-11-30 01:18:20
2024-08-22,20218.974609375,19491.83984375,2024-11-30 01:20:44
2024-08-23,19929.365234375,19720.869140625,2024-11-30 01:23:07
2024-08-26,19937.458984375,19516.439453125,2024-11-30 01:25:30
2024-08-27,19757.458984375,19581.51953125,2024-11-30 01:27:54
2024-08-28,19607.294921875,19350.779296875,2024-11-30 01:30:17
2024-08-29,19525.103515625,19325.44921875,2024-11-30 01:32:40
2024-08-30,19696.970703125,19574.640625,2024-11-30 01:35:03
2024-08-30,19995.6015625,19574.640625,2024-11-30 01:37:25
2024-09-03,20025.37109375,18958.740234375,2024-11-30 01:39:48
2024-09-04,19179.83203125,18921.400390625,2024-11-30 01:42:12
2024-09-05,18381.63671875,18930.330078125,2024-11-30 01:44:34
2024-09-06,18084.517578125,18421.310546875,2024-11-30 01:46:57
2024-09-09,16967.685546875,18660.779296875,2024-11-30 01:49:20
2024-09-10,17728.228515625,18829.140625,2024-11-30 01:51:41
2024-09-11,18868.955078125,19237.30078125,2024-11-30 01:54:04
2024-09-12,18562.84375,19423.0703125,2024-11-30 01:56:26
2024-09-13,19579.392578125,19514.58984375,2024-11-30 01:58:49
2024-09-16,19812.048828125,19423.060546875,2024-11-30 02:01:14
2024-09-17,19900.61328125,19432.400390625,2024-11-30 02:03:37
2024-09-18,19370.783203125,19344.490234375,2024-11-30 02:06:00
2024-09-19,18990.82421875,19839.830078125,2024-11-30 02:08:24
2024-09-20,19562.080078125,19791.490234375,2024-11-30 02:10:50
2024-09-23,19963.181640625,19852.19921875,2024-11-30 02:13:13
2024-09-24,19696.1171875,19944.83984375,2024-11-30 02:15:37
2024-09-25,19591.330078125,19972.609375,2024-11-30 02:17:59
2024-09-26,19685.75390625,20115.5390625,2024-11-30 02:20:22
2024-09-27,19484.2734375,20008.619140625,2024-11-30 02:22:47
2024-09-30,19494.333984375,20060.689453125,2024-11-30 02:25:10
2024-10-01,19468.83203125,19773.30078125,2024-11-30 02:27:35
2024-10-02,19490.740234375,19802.58984375,2024-11-30 02:29:59
2024-10-03,19445.78125,19793.33984375,2024-11-30 02:32:22
2024-10-04,19052.337890625,20035.01953125,2024-11-30 02:34:46
2024-10-07,19232.095703125,19800.740234375,2024-11-30 02:37:10
2024-10-08,19351.55078125,20107.779296875,2024-11-30 02:39:31
2024-10-09,18963.873046875,20268.859375,2024-11-30 02:41:55
2024-10-10,19376.892578125,20241.759765625,2024-11-30 02:44:17
2024-10-11,18857.36328125,20271.970703125,2024-11-30 02:46:40
2024-10-14,19697.615234375,20439.05078125,2024-11-30 02:49:02
2024-10-15,19625.23828125,20159.830078125,2024-11-30 02:51:25
2024-10-16,19559.791015625,20174.05078125,2024-11-30 02:53:51
2024-10-17,19881.986328125,20190.419921875,2024-11-30 02:56:12
2024-10-18,20190.935546875,20324.0390625,2024-11-30 02:58:35
2024-10-21,19701.958984375,20361.470703125,2024-11-30 03:00:58
2024-10-22,19677.28515625,20390.4609375,2024-11-30 03:03:20
2024-10-23,20068.048828125,20066.9609375,2024-11-30 03:05:42
2024-10-24,19930.1015625,20232.869140625,2024-11-30 03:08:06
2024-10-25,19962.6640625,20352.01953125,2024-11-30 03:10:31
2024-10-28,19690.0078125,20351.0703125,2024-11-30 03:12:54
2024-10-29,20300.119140625,20550.650390625,2024-11-30 03:15:17
2024-10-30,20553.814453125,20387.69921875,2024-11-30 03:17:40
2024-10-31,20477.841796875,19890.419921875,2024-11-30 03:20:04
2024-11-01,19965.564453125,20033.140625,2024-11-30 03:22:24
2024-11-04,20244.22265625,19963.599609375,2024-11-30 03:24:48
2024-11-05,20240.556640625,20227.4609375,2024-11-30 03:27:11
2024-11-06,20544.22265625,20781.330078125,2024-11-30 03:29:32
2024-11-07,20507.947265625,21101.5703125,2024-11-30 03:31:54
2024-11-08,20475.173828125,21117.1796875,2024-11-30 03:34:16
2024-11-11,20887.771484375,21106.58984375,2024-11-30 03:36:40
2024-11-12,20691.779296875,21070.7890625,2024-11-30 03:39:02
2024-11-13,20845.349609375,21036.16015625,2024-11-30 03:41:24
2024-11-14,20856.09765625,20896.669921875,2024-11-30 03:43:48
2024-11-15,20816.587890625,20394.130859375,2024-11-30 03:46:12
2024-11-18,20748.576171875,20539.189453125,2024-11-30 03:48:35
2024-11-19,20231.33984375,20684.58984375,2024-11-30 03:50:57
2024-11-20,20804.84765625,20667.099609375,2024-11-30 03:53:18
2024-11-21,20674.126953125,20740.779296875,2024-11-30 03:55:40
2024-11-22,20894.22265625,20776.23046875,2024-11-30 03:58:03
2024-11-25,21222.080078125,20804.890625,2024-11-30 04:00:24
2024-11-26,20972.91015625,20922.900390625,2024-11-30 04:02:45
2024-11-27,20810.388671875,20744.490234375,2024-11-30 04:05:07
2024-11-27,20933.181640625,20744.490234375,2024-11-30 04:07:30
2024-11-27,20903.40234375,20744.490234375,2024-11-30 23:58:02
2024-11-27,20848.8984375,20744.490234375,2024-12-02 02:18:38
2024-11-29,20825.482421875,20930.369140625,2024-12-02 02:21:01
2024-12-02,20992.03125,21164.595703125,2024-12-03 00:58:36
2024-12-03,20673.732421875,21229.3203125,2025-01-19 12:01:45
2024-12-04,20691.6953125,21492.359375,2025-01-19 12:04:21
2024-12-05,20759.51171875,21425.220703125,2025-01-19 12:06:39
2024-12-06,20973.474609375,21622.25,2025-01-19 12:09:16
2024-12-09,20516.181640625,21440.8203125,2025-01-19 12:11:43
2024-12-10,20479.66015625,21368.1796875,2025-01-19 12:14:08
2024-12-11,20927.146484375,21763.98046875,2025-01-19 12:16:36
2024-12-12,20476.01953125,21615.26953125,2025-01-19 12:19:03
2024-12-13,21085.953125,21780.25,2025-01-19 12:21:27
2024-12-16,21102.912109375,22096.66015625,2025-01-19 12:23:54
2024-12-17,21356.18359375,22001.080078125,2025-01-19 12:26:20
2024-12-18,22038.578125,21209.3203125,2025-01-19 12:28:44
2024-12-19,21536.201171875,21110.509765625,2025-01-19 12:31:09
2024-12-20,21004.119140625,21289.150390625,2025-01-19 12:33:32
2024-12-23,20654.267578125,21503.169921875,2025-01-19 12:35:49
2024-12-24,21497.939453125,21797.650390625,2025-01-19 12:38:11
2024-12-24,21211.7578125,21797.650390625,2025-01-19 12:40:36
2024-12-26,21212.1796875,21768.310546875,2025-01-19 12:43:00
2024-12-27,21748.673828125,21473.01953125,2025-01-19 12:45:25
2024-12-30,21778.787109375,21197.08984375,2025-01-19 12:47:44
2024-12-31,21980.583984375,21012.169921875,2025-01-19 12:50:01
2024-12-31,21340.640625,21012.169921875,2025-01-19 12:52:21
2025-01-02,21118.080078125,20975.619140625,2025-01-19 12:54:39
2025-01-03,21479.578125,21326.16015625,2025-01-19 12:56:57
2025-01-06,21539.62890625,21559.5,2025-01-19 12:59:14
2025-01-07,21071.330078125,21173.0390625,2025-01-19 13:01:33
2025-01-08,21247.12109375,21180.970703125,2025-01-19 13:03:51
2025-01-08,21396.18359375,21180.970703125,2025-01-19 13:06:11
2025-01-10,21073.541015625,20847.580078125,2025-01-19 13:08:31
2025-01-13,21019.525390625,20784.720703125,2025-01-19 13:10:49
2025-01-14,20170.94140625,20757.41015625,2025-01-19 13:13:06
2025-01-15,20526.37890625,21237.849609375,2025-01-19 13:15:25
2025-01-16,20570.466796875,21091.25,2025-01-19 13:17:43
2025-01-17,21179.189453125,21441.16015625,2025-01-20 00:51:16
2025-01-17,21313.275390625,21441.16015625,2025-01-23 04:06:06
2025-01-21,21239.4765625,21566.509765625,2025-01-23 04:08:27
2025-01-22,21344.740234375,21853.0,2025-01-23 04:10:49
