Date,Prediction,Actual,Current_Time
2024-03-04,18503.84765625,18226.48046875,
2024-03-05,18070.919921875,17897.869140625,
2024-03-06,18165.009765625,18017.5703125,
2024-03-07,18525.48046875,18297.990234375,
2024-03-08,18198.166015625,18018.44921875,
2024-03-11,18371.169921875,17951.689453125,
2024-03-12,18064.240234375,18219.109375,
2024-03-13,17859.064453125,18068.470703125,
2024-03-14,18004.6015625,18014.810546875,
2024-03-15,18075.662109375,17808.25,
2024-03-18,18132.328125,17985.009765625,
2024-03-19,18111.5234375,18032.19921875,
2024-03-20,18028.33203125,18240.109375,
2024-03-21,18061.10546875,18320.380859375,
2024-03-22,18174.201171875,18339.439453125,
2024-03-25,18036.482421875,18277.060546875,
2024-03-26,18159.203125,18210.5390625,
2024-03-27,18080.98828125,18280.83984375,
2024-03-28,18255.828125,18254.689453125,
2024-03-28,18197.802734375,18254.689453125,
2024-04-01,18166.353515625,18293.19921875,
2024-04-02,18354.28125,18121.779296875,
2024-04-03,18233.791015625,18160.189453125,
2024-04-04,18314.474609375,17878.779296875,
2024-04-05,18247.2109375,18108.4609375,
2024-04-08,18128.275390625,18100.189453125,
2024-04-09,18145.53515625,18169.900390625,
2024-04-10,17997.599609375,18011.66015625,
2024-04-11,17977.869140625,18307.98046875,
2024-04-12,17963.5859375,18003.490234375,
2024-04-15,17974.27734375,17706.830078125,
2024-04-16,18214.47265625,17713.66015625,
2024-04-17,17937.7734375,17493.619140625,
2024-04-18,18087.4296875,17394.310546875,
2024-04-19,18050.744140625,17037.650390625,
2024-04-22,17134.025390625,17210.890625,
2024-04-23,17691.44140625,17471.470703125,
2024-04-24,17810.92578125,17526.80078125,
2024-04-25,17656.787109375,17430.5,
2024-04-26,17541.345703125,17718.30078125,
2024-04-29,17234.365234375,17782.720703125,
2024-04-30,17119.001953125,17440.689453125,
2024-05-01,17664.712890625,17318.55078125,
2024-05-02,17350.279296875,17541.5390625,
2024-05-03,17504.24609375,17890.80078125,
2024-05-06,17973.1484375,18093.5703125,
2024-05-07,17687.828125,18091.44921875,
2024-05-08,17884.7109375,18085.009765625,
2024-05-09,18060.4765625,18113.4609375,
2024-05-10,18253.302734375,18161.1796875,
2024-05-13,18351.91015625,18198.609375,
2024-05-14,18213.19921875,18322.76953125,
2024-05-15,18207.271484375,18596.650390625,
2024-05-16,18517.81640625,18557.9609375,
2024-05-17,18129.48828125,18546.23046875,
2024-05-20,18940.984375,18674.189453125,
2024-05-21,18326.779296875,18713.80078125,
2024-05-22,18326.2265625,18705.19921875,
2024-05-23,18174.6640625,18623.390625,
2024-05-24,17622.916015625,18808.349609375,
2024-05-24,18104.412109375,18808.349609375,
2024-05-28,18109.470703125,18869.439453125,
2024-05-29,17161.931640625,18736.75,
2024-05-30,17981.462890625,18538.66015625,
2024-05-31,18804.919921875,18536.650390625,
2024-06-03,18360.720703125,18600.970703125,
2024-06-04,18680.427734375,18654.83984375,
2024-06-05,18385.607421875,19035.05078125,
2024-06-06,19004.6875,19021.189453125,
2024-06-07,19001.966796875,19000.94921875,
2024-06-10,18779.845703125,19074.669921875,
2024-06-11,18845.876953125,19210.1796875,
2024-06-12,18440.59765625,19465.1796875,
2024-06-13,19212.3125,19576.919921875,
2024-06-14,19509.375,19659.80078125,
2024-06-17,19283.408203125,19902.75,
2024-06-18,19848.271484375,19908.859375,
2024-06-18,19540.33984375,19908.859375,
2024-06-20,19959.90234375,19752.30078125,
2024-06-21,19813.33203125,19700.4296875,
2024-06-24,18905.546875,19474.619140625,
2024-06-25,18570.328125,19701.130859375,
2024-06-26,19203.466796875,19751.05078125,
2024-06-27,19098.888671875,19789.029296875,
2024-06-28,19090.880859375,19682.869140625,
2024-07-01,19477.109375,19812.220703125,
2024-07-02,19249.984375,20011.890625,
2024-07-03,19899.572265625,20186.630859375,
2024-07-03,19979.09765625,20186.630859375,
2024-07-05,20161.125,20391.970703125,
2024-07-08,20372.673828125,20439.5390625,
2024-07-09,19495.126953125,20453.01953125,
2024-07-10,20516.044921875,20675.380859375,
2024-07-11,20122.333984375,20211.359375,
2024-07-12,19621.240234375,20331.490234375,
2024-07-15,20158.0390625,20386.880859375,
2024-07-16,20128.62109375,20398.619140625,
2024-07-17,19692.1640625,19799.140625,
2024-07-18,20373.46875,19705.08984375,
2024-07-19,19108.521484375,19522.619140625,
2024-07-22,19385.744140625,19822.869140625,
2024-07-23,19720.4921875,19754.33984375,
2024-07-24,19682.822265625,19032.390625,
2024-07-25,19670.615234375,18830.580078125,
2024-07-26,19365.462890625,19023.66015625,
2024-07-29,18660.142578125,19059.490234375,
2024-07-30,18843.330078125,18796.26953125,
2024-07-31,18983.189453125,19362.4296875,
2024-08-01,19282.201171875,18890.390625,
2024-08-02,18521.384765625,18440.849609375,
2024-08-05,18807.724609375,17895.16015625,2024-11-25 00:30:04
2024-08-06,18155.1328125,18077.919921875,2024-11-25 00:32:27
2024-08-07,17471.53125,17867.369140625,2024-11-25 00:34:48
2024-08-08,16988.505859375,18413.8203125,2024-11-25 00:37:13
2024-08-09,17345.083984375,18513.099609375,2024-11-25 00:39:34
2024-08-12,17913.974609375,18542.029296875,2024-11-25 00:41:56
2024-08-13,17608.68359375,19006.4296875,2024-11-25 00:44:19
2024-08-14,18961.234375,19022.6796875,2024-11-25 00:46:42
2024-08-15,18995.900390625,19490.150390625,2024-11-25 00:49:05
2024-08-16,19411.74609375,19508.51953125,2024-11-25 00:51:27
2024-08-19,19462.84765625,19766.490234375,2024-11-25 00:53:50
2024-08-20,19845.61328125,19719.8203125,2024-11-25 00:56:11
2024-08-21,20169.076171875,19824.83984375,2024-11-25 00:58:33
2024-08-22,19691.171875,19491.83984375,2024-11-25 01:00:55
2024-08-23,19948.134765625,19720.869140625,2024-11-25 01:03:16
2024-08-26,19554.015625,19516.439453125,2024-11-25 01:05:39
2024-08-27,19586.595703125,19581.51953125,2024-11-25 01:08:00
2024-08-28,19090.42578125,19350.779296875,2024-11-25 01:10:22
2024-08-29,19356.099609375,19325.44921875,2024-11-25 01:12:45
2024-08-30,19040.021484375,19574.640625,2024-11-25 01:15:06
2024-08-30,19429.443359375,19574.640625,2024-11-25 01:17:27
2024-09-03,19359.158203125,18958.740234375,2024-11-25 01:19:49
2024-09-04,19712.06640625,18921.400390625,2024-11-25 01:22:09
2024-09-05,18407.49609375,18930.330078125,2024-11-25 01:24:30
2024-09-06,19926.62109375,18421.310546875,2024-11-25 01:26:51
2024-09-09,18101.041015625,18660.779296875,2024-11-25 01:29:12
2024-09-10,17655.708984375,18829.140625,2024-11-25 01:31:33
2024-09-11,18114.515625,19237.30078125,2024-11-25 01:33:54
2024-09-12,18055.5234375,19423.0703125,2024-11-25 01:36:15
2024-09-13,19686.353515625,19514.58984375,2024-11-25 01:38:36
2024-09-16,19741.19140625,19423.060546875,2024-11-25 01:40:56
2024-09-17,19624.486328125,19432.400390625,2024-11-25 01:43:17
2024-09-18,19825.21875,19344.490234375,2024-11-25 01:45:38
2024-09-19,20088.548828125,19839.830078125,2024-11-25 01:48:00
2024-09-20,19504.37890625,19791.490234375,2024-11-25 01:50:20
2024-09-23,19425.359375,19852.19921875,2024-11-25 01:52:42
2024-09-24,20166.693359375,19944.83984375,2024-11-25 01:55:06
2024-09-25,19765.05859375,19972.609375,2024-11-25 01:57:28
2024-09-26,19662.474609375,20115.5390625,2024-11-25 01:59:49
2024-09-27,19919.59765625,20008.619140625,2024-11-25 02:02:10
