Date,Prediction,Actual,Current_Time
2024-03-04,17960.587890625,18226.48046875,
2024-03-05,17899.11328125,17897.869140625,
2024-03-06,17806.88671875,18017.5703125,
2024-03-07,18054.04296875,18297.990234375,
2024-03-08,18140.236328125,18018.44921875,
2024-03-11,18130.357421875,17951.689453125,
2024-03-12,18139.205078125,18219.109375,
2024-03-13,18177.369140625,18068.470703125,
2024-03-14,18033.845703125,18014.810546875,
2024-03-15,17979.111328125,17808.25,
2024-03-18,17955.60546875,17985.009765625,
2024-03-19,18077.91796875,18032.19921875,
2024-03-20,17987.314453125,18240.109375,
2024-03-21,18013.21875,18320.380859375,
2024-03-22,18105.798828125,18339.439453125,
2024-03-25,18105.015625,18277.060546875,
2024-03-26,17972.265625,18210.5390625,
2024-03-27,18092.958984375,18280.83984375,
2024-03-28,18165.369140625,18254.689453125,
2024-03-28,18167.009765625,18254.689453125,
2024-04-01,18030.53125,18293.19921875,
2024-04-02,18405.80078125,18121.779296875,
2024-04-03,18329.11328125,18160.189453125,
2024-04-04,18171.115234375,17878.779296875,
2024-04-05,18050.61328125,18108.4609375,
2024-04-08,18195.607421875,18100.189453125,
2024-04-09,18127.326171875,18169.900390625,
2024-04-10,18176.64453125,18011.66015625,
2024-04-11,18178.779296875,18307.98046875,
2024-04-12,18048.400390625,18003.490234375,
2024-04-15,18102.58203125,17706.830078125,
2024-04-16,18106.65625,17713.66015625,
2024-04-17,18082.1953125,17493.619140625,
2024-04-18,18030.189453125,17394.310546875,
2024-04-19,18139.861328125,17037.650390625,
2024-04-22,17860.1953125,17210.890625,
2024-04-23,17746.25390625,17471.470703125,
2024-04-24,17708.099609375,17526.80078125,
2024-04-25,17659.93359375,17430.5,
2024-04-26,17093.697265625,17718.30078125,
2024-04-29,17404.103515625,17782.720703125,
2024-04-30,17422.693359375,17440.689453125,
2024-05-01,17572.1640625,17318.55078125,
2024-05-02,17367.7890625,17541.5390625,
2024-05-03,18028.84375,17890.80078125,
2024-05-06,17392.896484375,18093.5703125,
2024-05-07,17981.21875,18091.44921875,
2024-05-08,17907.6484375,18085.009765625,
2024-05-09,18150.419921875,18113.4609375,
2024-05-10,18124.34375,18161.1796875,
2024-05-13,18077.025390625,18198.609375,
2024-05-14,18167.86328125,18322.76953125,
2024-05-15,18064.388671875,18596.650390625,
2024-05-16,18033.35546875,18557.9609375,
2024-05-17,18157.041015625,18546.23046875,
2024-05-20,18176.044921875,18674.189453125,
2024-05-21,18309.970703125,18713.80078125,
2024-05-22,18307.873046875,18705.19921875,
2024-05-23,18175.412109375,18623.390625,
2024-05-24,17465.978515625,18808.349609375,
2024-05-24,16737.37890625,18808.349609375,
2024-05-28,17690.03125,18869.439453125,
2024-05-29,17925.4921875,18736.75,
2024-05-30,17555.435546875,18538.66015625,
2024-05-31,18094.90625,18536.650390625,
2024-06-03,17806.244140625,18600.970703125,
2024-06-04,18419.2421875,18654.83984375,
2024-06-05,18445.427734375,19035.05078125,
2024-06-06,18474.44140625,19021.189453125,
2024-06-07,18749.03515625,19000.94921875,
2024-06-10,18330.291015625,19074.669921875,
2024-06-11,18078.439453125,19210.1796875,
2024-06-12,18677.134765625,19465.1796875,
2024-06-13,18903.025390625,19576.919921875,
