Date,Prediction,Actual,Current_Time
2024-03-04,17634.703125,18226.48046875,
2024-03-05,18006.56640625,17897.869140625,
2024-03-06,18033.291015625,18017.5703125,
2024-03-07,18014.5859375,18297.990234375,
2024-03-08,17925.6640625,18018.44921875,
2024-03-11,17636.404296875,17951.689453125,
2024-03-12,18150.56640625,18219.109375,
2024-03-13,18084.71875,18068.470703125,
2024-03-14,18064.787109375,18014.810546875,
2024-03-15,18055.279296875,17808.25,
2024-03-18,18013.59765625,17985.009765625,
2024-03-19,17952.693359375,18032.19921875,
2024-03-20,18047.9140625,18240.109375,
2024-03-21,17974.69921875,18320.380859375,
2024-03-22,17981.939453125,18339.439453125,
2024-03-25,18097.224609375,18277.060546875,
2024-03-26,18196.681640625,18210.5390625,
2024-03-27,18148.779296875,18280.83984375,
2024-03-28,18066.146484375,18254.689453125,
2024-03-28,18322.2265625,18254.689453125,
2024-04-01,18181.109375,18293.19921875,
2024-04-02,18316.294921875,18121.779296875,
2024-04-03,18318.279296875,18160.189453125,
2024-04-04,18256.466796875,17878.779296875,
2024-04-05,18312.67578125,18108.4609375,
2024-04-08,18119.783203125,18100.189453125,
2024-04-09,18171.365234375,18169.900390625,
2024-04-10,18126.9921875,18011.66015625,
2024-04-11,17959.05859375,18307.98046875,
2024-04-12,18144.62109375,18003.490234375,
2024-04-15,18149.611328125,17706.830078125,
2024-04-16,17961.560546875,17713.66015625,
2024-04-17,17718.28125,17493.619140625,
2024-04-18,18022.888671875,17394.310546875,
2024-04-19,18001.24609375,17037.650390625,
2024-04-22,17169.52734375,17210.890625,
2024-04-23,17202.73828125,17471.470703125,
2024-04-24,17429.716796875,17526.80078125,
2024-04-25,17958.314453125,17430.5,
2024-04-26,17345.505859375,17718.30078125,
2024-04-29,17601.330078125,17782.720703125,
2024-04-30,17657.4609375,17440.689453125,
2024-05-01,17582.236328125,17318.55078125,
2024-05-02,16416.341796875,17541.5390625,
2024-05-03,17694.71875,17890.80078125,
2024-05-06,17319.6015625,18093.5703125,
2024-05-07,17779.744140625,18091.44921875,
2024-05-08,17919.826171875,18085.009765625,
2024-05-09,17962.265625,18113.4609375,
2024-05-10,17883.15625,18161.1796875,
2024-05-13,18051.87109375,18198.609375,
2024-05-14,17946.603515625,18322.76953125,
2024-05-15,18106.310546875,18596.650390625,
2024-05-16,18247.2734375,18557.9609375,
2024-05-17,18434.041015625,18546.23046875,
2024-05-20,18089.990234375,18674.189453125,
2024-05-21,18333.046875,18713.80078125,
2024-05-22,18444.302734375,18705.19921875,
2024-05-23,18249.890625,18623.390625,
2024-05-24,18231.912109375,18808.349609375,
2024-05-24,17934.240234375,18808.349609375,
2024-05-28,18203.6328125,18869.439453125,
2024-05-29,18439.23828125,18736.75,
2024-05-30,17770.671875,18538.66015625,
2024-05-31,18392.16015625,18536.650390625,
2024-06-03,18311.837890625,18600.970703125,
2024-06-04,18715.298828125,18654.83984375,
2024-06-05,18299.994140625,19035.05078125,
2024-06-06,17741.654296875,19021.189453125,
2024-06-07,18806.068359375,19000.94921875,
2024-06-10,18080.087890625,19074.669921875,
2024-06-11,18817.97265625,19210.1796875,
2024-06-12,18958.630859375,19465.1796875,
2024-06-13,19130.748046875,19576.919921875,
2024-06-14,19276.119140625,19659.80078125,
2024-06-17,18807.62890625,19902.75,
2024-06-18,19220.77734375,19908.859375,
2024-06-18,20181.541015625,19908.859375,
2024-06-20,18239.623046875,19752.30078125,
2024-06-21,19117.197265625,19700.4296875,
2024-06-24,18512.75,19474.619140625,
2024-06-25,18717.912109375,19701.130859375,
2024-06-26,18610.87109375,19751.05078125,
2024-06-27,19443.548828125,19789.029296875,
2024-06-28,18675.208984375,19682.869140625,
2024-07-01,19396.4375,19812.220703125,
2024-07-02,19678.65625,20011.890625,
2024-07-03,19658.646484375,20186.630859375,
2024-07-03,19551.5703125,20186.630859375,
2024-07-05,19994.75,20391.970703125,
2024-07-08,20000.40234375,20439.5390625,
2024-07-09,20350.498046875,20453.01953125,
