Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-11,17909.240234375,17951.689453125,,17931.046875,17985.009765625,21.806640625,33.3203125
2024-03-12,17869.078125,18219.109375,,17811.35546875,18032.19921875,-57.72265625,-186.91015625
2024-03-13,18067.73828125,18068.470703125,,18014.81640625,18240.109375,-52.921875,171.638671875
2024-03-14,17943.32421875,18014.810546875,,18075.369140625,18320.380859375,132.044921875,305.5703125
2024-03-15,17956.45703125,17808.25,,18094.267578125,18339.439453125,137.810546875,531.189453125
2024-03-18,17956.279296875,17985.009765625,,17909.240234375,18277.060546875,-47.0390625,292.05078125
2024-03-19,17440.640625,18032.19921875,,17869.078125,18210.5390625,428.4375,178.33984375
2024-03-20,17949.505859375,18240.109375,,18067.73828125,18280.83984375,118.232421875,40.73046875
2024-03-21,17977.826171875,18320.380859375,,17943.32421875,18254.689453125,-34.501953125,-65.69140625
2024-03-22,17877.10546875,18339.439453125,,17956.45703125,18293.19921875,79.3515625,-46.240234375
2024-03-25,18195.85546875,18277.060546875,,17956.279296875,18121.779296875,-239.576171875,-155.28125
2024-03-26,18166.46484375,18210.5390625,,17440.640625,18160.189453125,-725.82421875,-50.349609375
2024-03-27,18218.744140625,18280.83984375,,17949.505859375,17878.779296875,-269.23828125,-402.060546875
2024-03-28,18062.013671875,18254.689453125,,17977.826171875,18108.4609375,-84.1875,-146.228515625
2024-04-01,18322.37109375,18293.19921875,,17877.10546875,18100.189453125,-445.265625,-193.009765625
2024-04-02,18293.833984375,18121.779296875,,18195.85546875,18169.900390625,-97.978515625,48.12109375
2024-04-03,18309.755859375,18160.189453125,,18166.46484375,18011.66015625,-143.291015625,-148.529296875
2024-04-04,18197.55859375,17878.779296875,,18218.744140625,18307.98046875,21.185546875,429.201171875
2024-04-05,18150.34375,18108.4609375,,18062.013671875,18003.490234375,-88.330078125,-104.970703125
2024-04-08,18253.048828125,18100.189453125,,18322.37109375,17706.830078125,69.322265625,-393.359375
2024-04-09,17937.50390625,18169.900390625,,18293.833984375,17713.66015625,356.330078125,-456.240234375
2024-04-10,18275.658203125,18011.66015625,,18309.755859375,17493.619140625,34.09765625,-518.041015625
2024-04-11,18141.43359375,18307.98046875,,18197.55859375,17394.310546875,56.125,-913.669921875
2024-04-12,18001.390625,18003.490234375,,18150.34375,17037.650390625,148.953125,-965.83984375
2024-04-15,18106.36328125,17706.830078125,,18253.048828125,17210.890625,146.685546875,-495.939453125
2024-04-16,17783.306640625,17713.66015625,,17937.50390625,17471.470703125,154.197265625,-242.189453125
2024-04-17,17872.857421875,17493.619140625,,18275.658203125,17526.80078125,402.80078125,33.181640625
2024-04-18,18305.01953125,17394.310546875,,18141.43359375,17430.5,-163.5859375,36.189453125
2024-04-19,17577.775390625,17037.650390625,,18001.390625,17718.30078125,423.615234375,680.650390625
2024-04-22,17954.861328125,17210.890625,,18106.36328125,17782.720703125,151.501953125,571.830078125
2024-04-23,17619.068359375,17471.470703125,,17783.306640625,17440.689453125,164.23828125,-30.78125
2024-04-24,17636.306640625,17526.80078125,,17872.857421875,17318.55078125,236.55078125,-208.25
2024-04-25,17975.453125,17430.5,,18305.01953125,17541.5390625,329.56640625,111.0390625
2024-04-26,17258.703125,17718.30078125,,17577.775390625,17890.80078125,319.072265625,172.5
2024-04-29,17146.68359375,17782.720703125,,17954.861328125,18093.5703125,808.177734375,310.849609375
2024-04-30,17102.8828125,17440.689453125,,17619.068359375,18091.44921875,516.185546875,650.759765625
2024-05-01,17409.41796875,17318.55078125,,17636.306640625,18085.009765625,226.888671875,766.458984375
2024-05-02,16980.251953125,17541.5390625,,17975.453125,18113.4609375,995.201171875,571.921875
2024-05-03,17221.048828125,17890.80078125,,17258.703125,18161.1796875,37.654296875,270.37890625
2024-05-06,17132.1328125,18093.5703125,,17146.68359375,18198.609375,14.55078125,105.0390625
2024-05-07,17808.693359375,18091.44921875,,17102.8828125,18322.76953125,-705.810546875,231.3203125
2024-05-08,17979.4140625,18085.009765625,,17409.41796875,18596.650390625,-569.99609375,511.640625
2024-05-09,17935.890625,18113.4609375,,16980.251953125,18557.9609375,-955.638671875,444.5
2024-05-10,18016.14453125,18161.1796875,,17221.048828125,18546.23046875,-795.095703125,385.05078125
2024-05-13,18116.666015625,18198.609375,,17132.1328125,18674.189453125,-984.533203125,475.580078125
2024-05-14,18241.001953125,18322.76953125,,17808.693359375,18713.80078125,-432.30859375,391.03125
2024-05-15,18293.455078125,18596.650390625,,17979.4140625,18705.19921875,-314.041015625,108.548828125
2024-05-16,18243.0703125,18557.9609375,,17935.890625,18623.390625,-307.1796875,65.4296875
2024-05-17,18481.9296875,18546.23046875,,18016.14453125,18808.349609375,-465.78515625,262.119140625
2024-05-20,18278.708984375,18674.189453125,,18116.666015625,18869.439453125,-162.04296875,195.25
2024-05-21,18146.4921875,18713.80078125,,18241.001953125,18736.75,94.509765625,22.94921875
2024-05-22,18207.0625,18705.19921875,,18293.455078125,18538.66015625,86.392578125,-166.5390625
2024-05-23,18150.62109375,18623.390625,,18243.0703125,18536.650390625,92.44921875,-86.740234375
2024-05-24,17954.138671875,18808.349609375,,18481.9296875,18600.970703125,527.791015625,-207.37890625
2024-05-28,18011.32421875,18869.439453125,,18278.708984375,18654.83984375,267.384765625,-214.599609375
2024-05-29,17900.701171875,18736.75,,18146.4921875,19035.05078125,245.791015625,298.30078125
2024-05-30,18302.7578125,18538.66015625,,18207.0625,19021.189453125,-95.6953125,482.529296875
2024-05-31,18434.34375,18536.650390625,,18150.62109375,19000.94921875,-283.72265625,464.298828125
2024-06-03,18201.57421875,18600.970703125,,17954.138671875,19074.669921875,-247.435546875,473.69921875
2024-06-04,18818.265625,18654.83984375,,18011.32421875,19210.1796875,-806.94140625,555.33984375
2024-06-05,18698.1015625,19035.05078125,,17900.701171875,19465.1796875,-797.400390625,430.12890625
2024-06-06,18350.8515625,19021.189453125,,18302.7578125,19576.919921875,-48.09375,555.73046875
2024-06-07,19065.35546875,19000.94921875,,18434.34375,19659.80078125,-631.01171875,658.8515625
2024-06-10,18668.244140625,19074.669921875,,18201.57421875,19902.75,-466.669921875,828.080078125
2024-06-11,18679.90625,19210.1796875,,18818.265625,19908.859375,138.359375,698.6796875
2024-06-12,18254.390625,19465.1796875,,18698.1015625,19752.30078125,443.7109375,287.12109375
2024-06-13,18653.662109375,19576.919921875,,18350.8515625,19700.4296875,-302.810546875,123.509765625
2024-06-14,19261.236328125,19659.80078125,,19065.35546875,19474.619140625,-195.880859375,-185.181640625
2024-06-17,18521.865234375,19902.75,,18668.244140625,19701.130859375,146.37890625,-201.619140625
2024-06-18,18984.716796875,19908.859375,,18679.90625,19751.05078125,-304.810546875,-157.80859375
2024-06-20,19522.5390625,19752.30078125,,18254.390625,19789.029296875,-1268.1484375,36.728515625
2024-06-21,19565.236328125,19700.4296875,,18653.662109375,19682.869140625,-911.57421875,-17.560546875
2024-06-24,19425.9921875,19474.619140625,,19261.236328125,19812.220703125,-164.755859375,337.6015625
2024-06-25,19069.013671875,19701.130859375,,18521.865234375,20011.890625,-547.1484375,310.759765625
2024-06-26,18893.107421875,19751.05078125,,18984.716796875,20186.630859375,91.609375,435.580078125
2024-06-27,19091.7890625,19789.029296875,,19522.5390625,20391.970703125,430.75,602.94140625
2024-06-28,18202.73828125,19682.869140625,,19565.236328125,20439.5390625,1362.498046875,756.669921875
2024-07-01,18564.39453125,19812.220703125,,19425.9921875,20453.01953125,861.59765625,640.798828125
2024-07-02,19099.361328125,20011.890625,,19069.013671875,20675.380859375,-30.34765625,663.490234375
2024-07-03,19775.13671875,20186.630859375,,18893.107421875,20211.359375,-882.029296875,24.728515625
2024-07-05,20236.537109375,20391.970703125,,19091.7890625,20331.490234375,-1144.748046875,-60.48046875
2024-07-08,20199.1640625,20439.5390625,,18202.73828125,20386.880859375,-1996.42578125,-52.658203125
2024-07-09,19028.421875,20453.01953125,,18564.39453125,20398.619140625,-464.02734375,-54.400390625
2024-07-10,18139.978515625,20675.380859375,,19099.361328125,19799.140625,959.3828125,-876.240234375
2024-07-11,20174.4140625,20211.359375,,19775.13671875,19705.08984375,-399.27734375,-506.26953125
2024-07-12,19779.904296875,20331.490234375,,20236.537109375,19522.619140625,456.6328125,-808.87109375
2024-07-15,20249.490234375,20386.880859375,,20199.1640625,19822.869140625,-50.326171875,-564.01171875
2024-07-16,19291.275390625,20398.619140625,,19028.421875,19754.33984375,-262.853515625,-644.279296875
2024-07-17,20268.447265625,19799.140625,,18139.978515625,19032.390625,-2128.46875,-766.75
2024-07-18,20000.427734375,19705.08984375,,20174.4140625,18830.580078125,173.986328125,-874.509765625
2024-07-19,19868.853515625,19522.619140625,,19779.904296875,19023.66015625,-88.94921875,-498.958984375
2024-07-22,19513.06640625,19822.869140625,,20249.490234375,19059.490234375,736.423828125,-763.37890625
2024-07-23,19333.501953125,19754.33984375,,19291.275390625,18796.26953125,-42.2265625,-958.0703125
