Unnamed: 0,Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
5,2024-03-11,18051.015625,17951.689453125,,18148.97265625,17985.009765625,97.95703125,33.3203125
6,2024-03-12,18195.939453125,18219.109375,,18035.14453125,18032.19921875,-160.794921875,-186.91015625
7,2024-03-13,17717.818359375,18068.470703125,,18078.18359375,18240.109375,360.365234375,171.638671875
8,2024-03-14,18055.6796875,18014.810546875,,17897.767578125,18320.380859375,-157.912109375,305.5703125
9,2024-03-15,18027.361328125,17808.25,,17959.71484375,18339.439453125,-67.646484375,531.189453125
10,2024-03-18,18036.25390625,17985.009765625,,18051.015625,18277.060546875,14.76171875,292.05078125
11,2024-03-19,17942.759765625,18032.19921875,,18195.939453125,18210.5390625,253.1796875,178.33984375
12,2024-03-20,18062.810546875,18240.109375,,17717.818359375,18280.83984375,-344.9921875,40.73046875
13,2024-03-21,18078.068359375,18320.380859375,,18055.6796875,18254.689453125,-22.388671875,-65.69140625
14,2024-03-22,17989.291015625,18339.439453125,,18027.361328125,18293.19921875,38.0703125,-46.240234375
15,2024-03-25,18212.9609375,18277.060546875,,18036.25390625,18121.779296875,-176.70703125,-155.28125
16,2024-03-26,18217.30078125,18210.5390625,,17942.759765625,18160.189453125,-274.541015625,-50.349609375
17,2024-03-27,18213.21875,18280.83984375,,18062.810546875,17878.779296875,-150.408203125,-402.060546875
18,2024-03-28,18063.2578125,18254.689453125,,18078.068359375,18108.4609375,14.810546875,-146.228515625
20,2024-04-01,18187.458984375,18293.19921875,,17989.291015625,18100.189453125,-198.16796875,-193.009765625
21,2024-04-02,18045.826171875,18121.779296875,,18212.9609375,18169.900390625,167.134765625,48.12109375
22,2024-04-03,17975.1171875,18160.189453125,,18217.30078125,18011.66015625,242.18359375,-148.529296875
23,2024-04-04,18144.232421875,17878.779296875,,18213.21875,18307.98046875,68.986328125,429.201171875
24,2024-04-05,18146.126953125,18108.4609375,,18063.2578125,18003.490234375,-82.869140625,-104.970703125
25,2024-04-08,18284.173828125,18100.189453125,,18187.458984375,17706.830078125,-96.71484375,-393.359375
26,2024-04-09,17986.3046875,18169.900390625,,18045.826171875,17713.66015625,59.521484375,-456.240234375
27,2024-04-10,18231.625,18011.66015625,,17975.1171875,17493.619140625,-256.5078125,-518.041015625
28,2024-04-11,18151.498046875,18307.98046875,,18144.232421875,17394.310546875,-7.265625,-913.669921875
29,2024-04-12,17975.423828125,18003.490234375,,18146.126953125,17037.650390625,170.703125,-965.83984375
30,2024-04-15,18254.5859375,17706.830078125,,18284.173828125,17210.890625,29.587890625,-495.939453125
31,2024-04-16,18035.958984375,17713.66015625,,17986.3046875,17471.470703125,-49.654296875,-242.189453125
32,2024-04-17,18055.767578125,17493.619140625,,18231.625,17526.80078125,175.857421875,33.181640625
33,2024-04-18,17790.94140625,17394.310546875,,18151.498046875,17430.5,360.556640625,36.189453125
34,2024-04-19,17864.22265625,17037.650390625,,17975.423828125,17718.30078125,111.201171875,680.650390625
35,2024-04-22,18071.65625,17210.890625,,18254.5859375,17782.720703125,182.9296875,571.830078125
36,2024-04-23,17630.822265625,17471.470703125,,18035.958984375,17440.689453125,405.13671875,-30.78125
37,2024-04-24,17795.693359375,17526.80078125,,18055.767578125,17318.55078125,260.07421875,-208.25
38,2024-04-25,17791.880859375,17430.5,,17790.94140625,17541.5390625,-0.939453125,111.0390625
39,2024-04-26,17620.291015625,17718.30078125,,17864.22265625,17890.80078125,243.931640625,172.5
40,2024-04-29,17507.8203125,17782.720703125,,18071.65625,18093.5703125,563.8359375,310.849609375
41,2024-04-30,17585.669921875,17440.689453125,,17630.822265625,18091.44921875,45.15234375,650.759765625
42,2024-05-01,17034.837890625,17318.55078125,,17795.693359375,18085.009765625,760.85546875,766.458984375
43,2024-05-02,16945.962890625,17541.5390625,,17791.880859375,18113.4609375,845.91796875,571.921875
44,2024-05-03,17278.3046875,17890.80078125,,17620.291015625,18161.1796875,341.986328125,270.37890625
45,2024-05-06,17383.845703125,18093.5703125,,17507.8203125,18198.609375,123.974609375,105.0390625
46,2024-05-07,17881.744140625,18091.44921875,,17585.669921875,18322.76953125,-296.07421875,231.3203125
47,2024-05-08,17890.271484375,18085.009765625,,17034.837890625,18596.650390625,-855.43359375,511.640625
48,2024-05-09,17921.6640625,18113.4609375,,16945.962890625,18557.9609375,-975.701171875,444.5
49,2024-05-10,17941.9609375,18161.1796875,,17278.3046875,18546.23046875,-663.65625,385.05078125
50,2024-05-13,17864.548828125,18198.609375,,17383.845703125,18674.189453125,-480.703125,475.580078125
51,2024-05-14,17912.201171875,18322.76953125,,17881.744140625,18713.80078125,-30.45703125,391.03125
52,2024-05-15,18004.68359375,18596.650390625,,17890.271484375,18705.19921875,-114.412109375,108.548828125
53,2024-05-16,18126.142578125,18557.9609375,,17921.6640625,18623.390625,-204.478515625,65.4296875
54,2024-05-17,18324.748046875,18546.23046875,,17941.9609375,18808.349609375,-382.787109375,262.119140625
55,2024-05-20,18451.5546875,18674.189453125,,17864.548828125,18869.439453125,-587.005859375,195.25
56,2024-05-21,18455.603515625,18713.80078125,,17912.201171875,18736.75,-543.40234375,22.94921875
57,2024-05-22,18082.65625,18705.19921875,,18004.68359375,18538.66015625,-77.97265625,-166.5390625
58,2024-05-23,18617.408203125,18623.390625,,18126.142578125,18536.650390625,-491.265625,-86.740234375
59,2024-05-24,18413.27734375,18808.349609375,,18324.748046875,18600.970703125,-88.529296875,-207.37890625
61,2024-05-28,18013.205078125,18869.439453125,,18451.5546875,18654.83984375,438.349609375,-214.599609375
62,2024-05-29,18061.6640625,18736.75,,18455.603515625,19035.05078125,393.939453125,298.30078125
63,2024-05-30,18338.17578125,18538.66015625,,18082.65625,19021.189453125,-255.51953125,482.529296875
64,2024-05-31,18371.310546875,18536.650390625,,18617.408203125,19000.94921875,246.09765625,464.298828125
65,2024-06-03,18295.98046875,18600.970703125,,18413.27734375,19074.669921875,117.296875,473.69921875
66,2024-06-04,18371.517578125,18654.83984375,,18013.205078125,19210.1796875,-358.3125,555.33984375
67,2024-06-05,18345.28515625,19035.05078125,,18061.6640625,19465.1796875,-283.62109375,430.12890625
68,2024-06-06,18807.705078125,19021.189453125,,18338.17578125,19576.919921875,-469.529296875,555.73046875
69,2024-06-07,18737.271484375,19000.94921875,,18371.310546875,19659.80078125,-365.9609375,658.8515625
70,2024-06-10,18682.017578125,19074.669921875,,18295.98046875,19902.75,-386.037109375,828.080078125
71,2024-06-11,18617.478515625,19210.1796875,,18371.517578125,19908.859375,-245.9609375,698.6796875
72,2024-06-12,18916.583984375,19465.1796875,,18345.28515625,19752.30078125,-571.298828125,287.12109375
73,2024-06-13,18421.8359375,19576.919921875,,18807.705078125,19700.4296875,385.869140625,123.509765625
74,2024-06-14,19156.421875,19659.80078125,,18737.271484375,19474.619140625,-419.150390625,-185.181640625
75,2024-06-17,19217.11328125,19902.75,,18682.017578125,19701.130859375,-535.095703125,-201.619140625
76,2024-06-18,18429.357421875,19908.859375,,18617.478515625,19751.05078125,188.12109375,-157.80859375
78,2024-06-20,19747.755859375,19752.30078125,,18916.583984375,19789.029296875,-831.171875,36.728515625
79,2024-06-21,18629.44140625,19700.4296875,,18421.8359375,19682.869140625,-207.60546875,-17.560546875
80,2024-06-24,19240.9765625,19474.619140625,,19156.421875,19812.220703125,-84.5546875,337.6015625
81,2024-06-25,18997.421875,19701.130859375,,19217.11328125,20011.890625,219.69140625,310.759765625
82,2024-06-26,19085.79296875,19751.05078125,,18429.357421875,20186.630859375,-656.435546875,435.580078125
83,2024-06-27,19281.83203125,19789.029296875,,19747.755859375,20391.970703125,465.923828125,602.94140625
84,2024-06-28,19328.078125,19682.869140625,,18629.44140625,20439.5390625,-698.63671875,756.669921875
85,2024-07-01,19443.720703125,19812.220703125,,19240.9765625,20453.01953125,-202.744140625,640.798828125
