Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-11,17864.6796875,17951.689453125,,18079.685546875,17985.009765625,215.005859375,33.3203125
2024-03-12,17959.822265625,18219.109375,,17939.01171875,18032.19921875,-20.810546875,-186.91015625
2024-03-13,18110.6328125,18068.470703125,,18049.142578125,18240.109375,-61.490234375,171.638671875
2024-03-14,18083.349609375,18014.810546875,,18024.947265625,18320.380859375,-58.40234375,305.5703125
2024-03-15,17847.896484375,17808.25,,17836.310546875,18339.439453125,-11.5859375,531.189453125
2024-03-18,18170.912109375,17985.009765625,,17864.6796875,18277.060546875,-306.232421875,292.05078125
2024-03-19,17861.099609375,18032.19921875,,17959.822265625,18210.5390625,98.72265625,178.33984375
2024-03-20,18070.212890625,18240.109375,2024-11-27 02:43:50,18110.6328125,18280.83984375,40.419921875,40.73046875
2024-03-21,18098.984375,18320.380859375,2024-11-27 02:48:36,18083.349609375,18254.689453125,-15.634765625,-65.69140625
2024-03-22,18164.46484375,18339.439453125,2024-11-27 02:53:24,17847.896484375,18293.19921875,-316.568359375,-46.240234375
2024-03-25,18219.654296875,18277.060546875,2024-11-27 02:58:13,18170.912109375,18121.779296875,-48.7421875,-155.28125
2024-03-26,18130.236328125,18210.5390625,2024-11-27 03:03:01,17861.099609375,18160.189453125,-269.13671875,-50.349609375
2024-03-27,18072.4765625,18280.83984375,2024-11-27 03:07:49,18070.212890625,17878.779296875,-2.263671875,-402.060546875
2024-03-28,18091.93359375,18254.689453125,2024-11-27 03:12:37,18098.984375,18108.4609375,7.05078125,-146.228515625
2024-04-01,18127.60546875,18293.19921875,2024-11-27 03:22:14,18164.46484375,18100.189453125,36.859375,-193.009765625
2024-04-02,18189.8828125,18121.779296875,2024-11-27 03:27:02,18219.654296875,18169.900390625,29.771484375,48.12109375
2024-04-03,18122.2578125,18160.189453125,2024-11-27 03:31:57,18130.236328125,18011.66015625,7.978515625,-148.529296875
2024-04-04,18132.900390625,17878.779296875,2024-11-27 03:36:47,18072.4765625,18307.98046875,-60.423828125,429.201171875
2024-04-05,18100.64453125,18108.4609375,2024-11-27 03:41:35,18091.93359375,18003.490234375,-8.7109375,-104.970703125
2024-04-08,18317.529296875,18100.189453125,2024-11-27 03:46:22,18127.60546875,17706.830078125,-189.923828125,-393.359375
2024-04-09,18101.353515625,18169.900390625,2024-11-27 03:51:12,18189.8828125,17713.66015625,88.529296875,-456.240234375
2024-04-10,18259.51171875,18011.66015625,2024-11-27 03:55:58,18122.2578125,17493.619140625,-137.25390625,-518.041015625
2024-04-11,18079.91015625,18307.98046875,2024-11-27 04:00:46,18132.900390625,17394.310546875,52.990234375,-913.669921875
2024-04-12,17986.0,18003.490234375,2024-11-27 04:05:34,18100.64453125,17037.650390625,114.64453125,-965.83984375
2024-04-15,18155.2109375,17706.830078125,2024-11-27 04:10:22,18317.529296875,17210.890625,162.318359375,-495.939453125
2024-04-16,18110.7265625,17713.66015625,2024-11-27 04:15:11,18101.353515625,17471.470703125,-9.373046875,-242.189453125
2024-04-17,18206.1171875,17493.619140625,2024-11-27 04:19:57,18259.51171875,17526.80078125,53.39453125,33.181640625
2024-04-18,18107.744140625,17394.310546875,2024-11-27 04:24:44,18079.91015625,17430.5,-27.833984375,36.189453125
2024-04-19,17896.66796875,17037.650390625,2024-11-27 04:29:33,17986.0,17718.30078125,89.33203125,680.650390625
2024-04-22,17933.068359375,17210.890625,2024-11-27 04:34:20,18155.2109375,17782.720703125,222.142578125,571.830078125
2024-04-23,17651.607421875,17471.470703125,2024-11-27 04:39:06,18110.7265625,17440.689453125,459.119140625,-30.78125
2024-04-24,17713.431640625,17526.80078125,2024-11-27 04:43:54,18206.1171875,17318.55078125,492.685546875,-208.25
2024-04-25,17748.5546875,17430.5,2024-11-27 04:48:43,18107.744140625,17541.5390625,359.189453125,111.0390625
2024-04-26,17405.91015625,17718.30078125,2024-11-27 04:53:33,17896.66796875,17890.80078125,490.7578125,172.5
2024-04-29,17027.8828125,17782.720703125,2024-11-27 04:58:21,17933.068359375,18093.5703125,905.185546875,310.849609375
2024-04-30,17553.400390625,17440.689453125,2024-11-27 05:03:08,17651.607421875,18091.44921875,98.20703125,650.759765625
2024-05-01,16888.611328125,17318.55078125,2024-11-27 05:07:55,17713.431640625,18085.009765625,824.8203125,766.458984375
2024-05-02,17237.423828125,17541.5390625,2024-11-27 05:12:42,17748.5546875,18113.4609375,511.130859375,571.921875
2024-05-03,17810.373046875,17890.80078125,2024-11-27 05:17:29,17405.91015625,18161.1796875,-404.462890625,270.37890625
2024-05-06,17194.25390625,18093.5703125,2024-11-27 05:22:14,17027.8828125,18198.609375,-166.37109375,105.0390625
2024-05-07,18047.513671875,18091.44921875,2024-11-27 05:27:01,17553.400390625,18322.76953125,-494.11328125,231.3203125
2024-05-08,18141.796875,18085.009765625,2024-11-27 05:31:51,16888.611328125,18596.650390625,-1253.185546875,511.640625
2024-05-09,17705.0390625,18113.4609375,2024-11-27 05:36:38,17237.423828125,18557.9609375,-467.615234375,444.5
2024-05-10,17960.189453125,18161.1796875,2024-11-27 05:41:24,17810.373046875,18546.23046875,-149.81640625,385.05078125
2024-05-13,17976.076171875,18198.609375,2024-11-27 05:46:09,17194.25390625,18674.189453125,-781.822265625,475.580078125
2024-05-14,18050.095703125,18322.76953125,2024-11-27 05:50:57,18047.513671875,18713.80078125,-2.58203125,391.03125
2024-05-15,18192.423828125,18596.650390625,2024-11-27 05:55:45,18141.796875,18705.19921875,-50.626953125,108.548828125
2024-05-16,18375.869140625,18557.9609375,2024-11-27 06:00:31,17705.0390625,18623.390625,-670.830078125,65.4296875
2024-05-17,18158.96484375,18546.23046875,2024-11-27 06:05:16,17960.189453125,18808.349609375,-198.775390625,262.119140625
2024-05-20,18431.1015625,18674.189453125,2024-11-27 06:10:05,17976.076171875,18869.439453125,-455.025390625,195.25
2024-05-21,18278.19140625,18713.80078125,2024-11-27 06:14:50,18050.095703125,18736.75,-228.095703125,22.94921875
2024-05-22,18482.330078125,18705.19921875,2024-11-27 06:19:39,18192.423828125,18538.66015625,-289.90625,-166.5390625
2024-05-23,18036.939453125,18623.390625,2024-11-27 06:24:24,18375.869140625,18536.650390625,338.9296875,-86.740234375
2024-05-24,17995.05078125,18808.349609375,2024-11-27 06:29:15,18158.96484375,18600.970703125,163.9140625,-207.37890625
2024-05-28,18175.47265625,18869.439453125,2024-11-27 06:38:48,18431.1015625,18654.83984375,255.62890625,-214.599609375
2024-05-29,17417.220703125,18736.75,2024-11-27 06:43:38,18278.19140625,19035.05078125,860.970703125,298.30078125
2024-05-30,18341.41796875,18538.66015625,2024-11-27 06:48:28,18482.330078125,19021.189453125,140.912109375,482.529296875
2024-05-31,17673.220703125,18536.650390625,2024-11-27 06:53:17,18036.939453125,19000.94921875,363.71875,464.298828125
2024-06-03,18661.189453125,18600.970703125,2024-11-27 06:58:05,17995.05078125,19074.669921875,-666.138671875,473.69921875
2024-06-04,18529.703125,18654.83984375,2024-11-27 07:02:53,18175.47265625,19210.1796875,-354.23046875,555.33984375
2024-06-05,18457.98046875,19035.05078125,2024-11-27 07:07:42,17417.220703125,19465.1796875,-1040.759765625,430.12890625
2024-06-06,18548.111328125,19021.189453125,2024-11-27 07:12:29,18341.41796875,19576.919921875,-206.693359375,555.73046875
2024-06-07,18453.966796875,19000.94921875,2024-11-27 07:17:16,17673.220703125,19659.80078125,-780.74609375,658.8515625
2024-06-10,18952.568359375,19074.669921875,2024-11-27 07:21:58,18661.189453125,19902.75,-291.37890625,828.080078125
