Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-11,18130.357421875,17951.689453125,,17960.587890625,17985.009765625,-169.76953125,33.3203125
2024-03-12,18139.205078125,18219.109375,,17899.11328125,18032.19921875,-240.091796875,-186.91015625
2024-03-13,18177.369140625,18068.470703125,,17806.88671875,18240.109375,-370.482421875,171.638671875
2024-03-14,18033.845703125,18014.810546875,,18054.04296875,18320.380859375,20.197265625,305.5703125
2024-03-15,17979.111328125,17808.25,,18140.236328125,18339.439453125,161.125,531.189453125
2024-03-18,17955.60546875,17985.009765625,,18130.357421875,18277.060546875,174.751953125,292.05078125
2024-03-19,18077.91796875,18032.19921875,,18139.205078125,18210.5390625,61.287109375,178.33984375
2024-03-20,17987.314453125,18240.109375,,18177.369140625,18280.83984375,190.0546875,40.73046875
2024-03-21,18013.21875,18320.380859375,,18033.845703125,18254.689453125,20.626953125,-65.69140625
2024-03-22,18105.798828125,18339.439453125,,17979.111328125,18293.19921875,-126.6875,-46.240234375
2024-03-25,18105.015625,18277.060546875,,17955.60546875,18121.779296875,-149.41015625,-155.28125
2024-03-26,17972.265625,18210.5390625,,18077.91796875,18160.189453125,105.65234375,-50.349609375
2024-03-27,18092.958984375,18280.83984375,,17987.314453125,17878.779296875,-105.64453125,-402.060546875
2024-03-28,18165.369140625,18254.689453125,,18013.21875,18108.4609375,-152.150390625,-146.228515625
2024-04-01,18030.53125,18293.19921875,,18105.798828125,18100.189453125,75.267578125,-193.009765625
2024-04-02,18405.80078125,18121.779296875,,18105.015625,18169.900390625,-300.78515625,48.12109375
2024-04-03,18329.11328125,18160.189453125,,17972.265625,18011.66015625,-356.84765625,-148.529296875
2024-04-04,18171.115234375,17878.779296875,,18092.958984375,18307.98046875,-78.15625,429.201171875
2024-04-05,18050.61328125,18108.4609375,,18165.369140625,18003.490234375,114.755859375,-104.970703125
2024-04-08,18195.607421875,18100.189453125,,18030.53125,17706.830078125,-165.076171875,-393.359375
2024-04-09,18127.326171875,18169.900390625,,18405.80078125,17713.66015625,278.474609375,-456.240234375
2024-04-10,18176.64453125,18011.66015625,,18329.11328125,17493.619140625,152.46875,-518.041015625
2024-04-11,18178.779296875,18307.98046875,,18171.115234375,17394.310546875,-7.6640625,-913.669921875
2024-04-12,18048.400390625,18003.490234375,,18050.61328125,17037.650390625,2.212890625,-965.83984375
2024-04-15,18102.58203125,17706.830078125,,18195.607421875,17210.890625,93.025390625,-495.939453125
2024-04-16,18106.65625,17713.66015625,,18127.326171875,17471.470703125,20.669921875,-242.189453125
2024-04-17,18082.1953125,17493.619140625,,18176.64453125,17526.80078125,94.44921875,33.181640625
2024-04-18,18030.189453125,17394.310546875,,18178.779296875,17430.5,148.58984375,36.189453125
2024-04-19,18139.861328125,17037.650390625,,18048.400390625,17718.30078125,-91.4609375,680.650390625
2024-04-22,17860.1953125,17210.890625,,18102.58203125,17782.720703125,242.38671875,571.830078125
2024-04-23,17746.25390625,17471.470703125,,18106.65625,17440.689453125,360.40234375,-30.78125
2024-04-24,17708.099609375,17526.80078125,,18082.1953125,17318.55078125,374.095703125,-208.25
2024-04-25,17659.93359375,17430.5,,18030.189453125,17541.5390625,370.255859375,111.0390625
2024-04-26,17093.697265625,17718.30078125,,18139.861328125,17890.80078125,1046.1640625,172.5
2024-04-29,17404.103515625,17782.720703125,,17860.1953125,18093.5703125,456.091796875,310.849609375
2024-04-30,17422.693359375,17440.689453125,,17746.25390625,18091.44921875,323.560546875,650.759765625
2024-05-01,17572.1640625,17318.55078125,,17708.099609375,18085.009765625,135.935546875,766.458984375
2024-05-02,17367.7890625,17541.5390625,,17659.93359375,18113.4609375,292.14453125,571.921875
2024-05-03,18028.84375,17890.80078125,,17093.697265625,18161.1796875,-935.146484375,270.37890625
2024-05-06,17392.896484375,18093.5703125,,17404.103515625,18198.609375,11.20703125,105.0390625
2024-05-07,17981.21875,18091.44921875,,17422.693359375,18322.76953125,-558.525390625,231.3203125
2024-05-08,17907.6484375,18085.009765625,,17572.1640625,18596.650390625,-335.484375,511.640625
2024-05-09,18150.419921875,18113.4609375,,17367.7890625,18557.9609375,-782.630859375,444.5
2024-05-10,18124.34375,18161.1796875,,18028.84375,18546.23046875,-95.5,385.05078125
2024-05-13,18077.025390625,18198.609375,,17392.896484375,18674.189453125,-684.12890625,475.580078125
2024-05-14,18167.86328125,18322.76953125,,17981.21875,18713.80078125,-186.64453125,391.03125
2024-05-15,18064.388671875,18596.650390625,,17907.6484375,18705.19921875,-156.740234375,108.548828125
2024-05-16,18033.35546875,18557.9609375,,18150.419921875,18623.390625,117.064453125,65.4296875
2024-05-17,18157.041015625,18546.23046875,,18124.34375,18808.349609375,-32.697265625,262.119140625
2024-05-20,18176.044921875,18674.189453125,,18077.025390625,18869.439453125,-99.01953125,195.25
2024-05-21,18309.970703125,18713.80078125,,18167.86328125,18736.75,-142.107421875,22.94921875
2024-05-22,18307.873046875,18705.19921875,,18064.388671875,18538.66015625,-243.484375,-166.5390625
2024-05-23,18175.412109375,18623.390625,,18033.35546875,18536.650390625,-142.056640625,-86.740234375
2024-05-24,17465.978515625,18808.349609375,,18157.041015625,18600.970703125,691.0625,-207.37890625
2024-05-28,17690.03125,18869.439453125,,18176.044921875,18654.83984375,486.013671875,-214.599609375
2024-05-29,17925.4921875,18736.75,,18309.970703125,19035.05078125,384.478515625,298.30078125
2024-05-30,17555.435546875,18538.66015625,,18307.873046875,19021.189453125,752.4375,482.529296875
2024-05-31,18094.90625,18536.650390625,,18175.412109375,19000.94921875,80.505859375,464.298828125
2024-06-03,17806.244140625,18600.970703125,,17465.978515625,19074.669921875,-340.265625,473.69921875
2024-06-04,18419.2421875,18654.83984375,,17690.03125,19210.1796875,-729.2109375,555.33984375
2024-06-05,18445.427734375,19035.05078125,,17925.4921875,19465.1796875,-519.935546875,430.12890625
2024-06-06,18474.44140625,19021.189453125,,17555.435546875,19576.919921875,-919.005859375,555.73046875
2024-06-07,18749.03515625,19000.94921875,,18094.90625,19659.80078125,-654.12890625,658.8515625
2024-06-10,18330.291015625,19074.669921875,,17806.244140625,19902.75,-524.046875,828.080078125
2024-06-11,18078.439453125,19210.1796875,,18419.2421875,19908.859375,340.802734375,698.6796875
2024-06-12,18677.134765625,19465.1796875,,18445.427734375,19752.30078125,-231.70703125,287.12109375
2024-06-13,18903.025390625,19576.919921875,,18474.44140625,19700.4296875,-428.583984375,123.509765625
2024-06-14,18639.705078125,19659.80078125,,18749.03515625,19474.619140625,109.330078125,-185.181640625
2024-06-17,18644.671875,19902.75,,18330.291015625,19701.130859375,-314.380859375,-201.619140625
2024-06-18,19730.64453125,19908.859375,,18078.439453125,19751.05078125,-1652.205078125,-157.80859375
2024-06-20,19561.939453125,19752.30078125,,18677.134765625,19789.029296875,-884.8046875,36.728515625
2024-06-21,18542.720703125,19700.4296875,,18903.025390625,19682.869140625,360.3046875,-17.560546875
2024-06-24,18893.564453125,19474.619140625,,18639.705078125,19812.220703125,-253.859375,337.6015625
2024-06-25,18772.875,19701.130859375,,18644.671875,20011.890625,-128.203125,310.759765625
2024-06-26,19461.837890625,19751.05078125,,19730.64453125,20186.630859375,268.806640625,435.580078125
2024-06-27,18735.84765625,19789.029296875,,19561.939453125,20391.970703125,826.091796875,602.94140625
2024-06-28,18936.830078125,19682.869140625,,18542.720703125,20439.5390625,-394.109375,756.669921875
2024-07-01,19170.46484375,19812.220703125,,18893.564453125,20453.01953125,-276.900390625,640.798828125
2024-07-02,19672.021484375,20011.890625,,18772.875,20675.380859375,-899.146484375,663.490234375
2024-07-03,19721.93359375,20186.630859375,,19461.837890625,20211.359375,-260.095703125,24.728515625
2024-07-05,19682.568359375,20391.970703125,,18735.84765625,20331.490234375,-946.720703125,-60.48046875
2024-07-08,19647.2421875,20439.5390625,,18936.830078125,20386.880859375,-710.412109375,-52.658203125
2024-07-09,20381.556640625,20453.01953125,,19170.46484375,20398.619140625,-1211.091796875,-54.400390625
2024-07-10,20527.375,20675.380859375,,19672.021484375,19799.140625,-855.353515625,-876.240234375
2024-07-11,20354.318359375,20211.359375,,19721.93359375,19705.08984375,-632.384765625,-506.26953125
2024-07-12,19983.97265625,20331.490234375,,19682.568359375,19522.619140625,-301.404296875,-808.87109375
2024-07-15,19970.228515625,20386.880859375,,19647.2421875,19822.869140625,-322.986328125,-564.01171875
2024-07-16,20291.47265625,20398.619140625,,20381.556640625,19754.33984375,90.083984375,-644.279296875
2024-07-17,20112.96484375,19799.140625,,20527.375,19032.390625,414.41015625,-766.75
2024-07-18,20409.927734375,19705.08984375,,20354.318359375,18830.580078125,-55.609375,-874.509765625
2024-07-19,19529.525390625,19522.619140625,,19983.97265625,19023.66015625,454.447265625,-498.958984375
2024-07-22,19848.1328125,19822.869140625,,19970.228515625,19059.490234375,122.095703125,-763.37890625
2024-07-23,20014.646484375,19754.33984375,,20291.47265625,18796.26953125,276.826171875,-958.0703125
2024-07-24,19651.513671875,19032.390625,,20112.96484375,19362.4296875,461.451171875,330.0390625
2024-07-25,19209.892578125,18830.580078125,,20409.927734375,18890.390625,1200.03515625,59.810546875
2024-07-26,18885.486328125,19023.66015625,,19529.525390625,18440.849609375,644.0390625,-582.810546875
2024-07-29,19385.55078125,19059.490234375,,19848.1328125,17895.16015625,462.58203125,-1164.330078125
2024-07-30,18461.837890625,18796.26953125,,20014.646484375,18077.919921875,1552.80859375,-718.349609375
2024-07-31,18714.14453125,19362.4296875,,19651.513671875,17867.369140625,937.369140625,-1495.060546875
2024-08-01,18769.33203125,18890.390625,,19209.892578125,18413.8203125,440.560546875,-476.5703125
2024-08-02,18645.564453125,18440.849609375,,18885.486328125,18513.099609375,239.921875,72.25
2024-08-05,18261.189453125,17895.16015625,,19385.55078125,18542.029296875,1124.361328125,646.869140625
2024-08-06,18097.203125,18077.919921875,,18461.837890625,19006.4296875,364.634765625,928.509765625
2024-08-07,17763.099609375,17867.369140625,,18714.14453125,19022.6796875,951.044921875,1155.310546875
2024-08-08,17754.025390625,18413.8203125,,18769.33203125,19490.150390625,1015.306640625,1076.330078125
2024-08-09,17470.20703125,18513.099609375,,18645.564453125,19508.51953125,1175.357421875,995.419921875
2024-08-12,18198.05078125,18542.029296875,,18261.189453125,19766.490234375,63.138671875,1224.4609375
2024-08-13,18291.16796875,19006.4296875,,18097.203125,19719.8203125,-193.96484375,713.390625
2024-08-14,18524.875,19022.6796875,,17763.099609375,19824.83984375,-761.775390625,802.16015625
2024-08-15,17996.943359375,19490.150390625,,17754.025390625,19491.83984375,-242.91796875,1.689453125
2024-08-16,19647.33984375,19508.51953125,,17470.20703125,19720.869140625,-2177.1328125,212.349609375
2024-08-19,19696.146484375,19766.490234375,,18198.05078125,19516.439453125,-1498.095703125,-250.05078125
2024-08-20,19649.798828125,19719.8203125,,18291.16796875,19581.51953125,-1358.630859375,-138.30078125
2024-08-21,18524.349609375,19824.83984375,,18524.875,19350.779296875,0.525390625,-474.060546875
2024-08-22,19868.76171875,19491.83984375,,17996.943359375,19325.44921875,-1871.818359375,-166.390625
2024-08-23,19311.697265625,19720.869140625,,19647.33984375,19574.640625,335.642578125,-146.228515625
2024-08-26,19654.041015625,19516.439453125,,19696.146484375,18958.740234375,42.10546875,-557.69921875
2024-08-27,20237.6015625,19581.51953125,,19649.798828125,18921.400390625,-587.802734375,-660.119140625
2024-08-28,19703.564453125,19350.779296875,,18524.349609375,18930.330078125,-1179.21484375,-420.44921875
2024-08-29,19660.83203125,19325.44921875,,19868.76171875,18421.310546875,207.9296875,-904.138671875
2024-08-30,19409.595703125,19574.640625,,19311.697265625,18660.779296875,-97.8984375,-913.861328125
2024-09-03,19468.34375,18958.740234375,,19654.041015625,18829.140625,185.697265625,-129.599609375
2024-09-04,19111.38671875,18921.400390625,,20237.6015625,19237.30078125,1126.21484375,315.900390625
2024-09-05,18585.3125,18930.330078125,,19703.564453125,19423.0703125,1118.251953125,492.740234375
2024-09-06,18962.009765625,18421.310546875,,19660.83203125,19514.58984375,698.822265625,1093.279296875
2024-09-09,18026.818359375,18660.779296875,,19409.595703125,19423.060546875,1382.77734375,762.28125
2024-09-10,17765.0234375,18829.140625,,19468.34375,19432.400390625,1703.3203125,603.259765625
2024-09-11,17929.3984375,19237.30078125,,19111.38671875,19344.490234375,1181.98828125,107.189453125
2024-09-12,18604.1796875,19423.0703125,,18585.3125,19839.830078125,-18.8671875,416.759765625
2024-09-13,18249.142578125,19514.58984375,,18962.009765625,19791.490234375,712.8671875,276.900390625
2024-09-16,19126.857421875,19423.060546875,,18026.818359375,19852.19921875,-1100.0390625,429.138671875
2024-09-17,19865.517578125,19432.400390625,,17765.0234375,19944.83984375,-2100.494140625,512.439453125
2024-09-18,19403.978515625,19344.490234375,,17929.3984375,19972.609375,-1474.580078125,628.119140625
2024-09-19,19785.041015625,19839.830078125,,18604.1796875,20115.5390625,-1180.861328125,275.708984375
2024-09-20,19671.49609375,19791.490234375,,18249.142578125,20008.619140625,-1422.353515625,217.12890625
2024-09-23,19025.71484375,19852.19921875,,19126.857421875,20060.689453125,101.142578125,208.490234375
2024-09-24,19385.515625,19944.83984375,,19865.517578125,19773.30078125,480.001953125,-171.5390625
2024-09-25,19832.177734375,19972.609375,,19403.978515625,19802.58984375,-428.19921875,-170.01953125
2024-09-26,19651.2265625,20115.5390625,,19785.041015625,19793.33984375,133.814453125,-322.19921875
2024-09-27,19553.11328125,20008.619140625,,19671.49609375,20035.01953125,118.3828125,26.400390625
2024-09-30,19578.603515625,20060.689453125,,19025.71484375,19800.740234375,-552.888671875,-259.94921875
2024-10-01,19244.869140625,19773.30078125,,19385.515625,20107.779296875,140.646484375,334.478515625
2024-10-02,19284.783203125,19802.58984375,,19832.177734375,20268.859375,547.39453125,466.26953125
2024-10-03,19714.71484375,19793.33984375,,19651.2265625,20241.759765625,-63.48828125,448.419921875
2024-10-04,19299.00390625,20035.01953125,,19553.11328125,20271.970703125,254.109375,236.951171875
2024-10-07,19131.21875,19800.740234375,,19578.603515625,20439.05078125,447.384765625,638.310546875
2024-10-08,19213.041015625,20107.779296875,,19244.869140625,20159.830078125,31.828125,52.05078125
2024-10-09,19494.8671875,20268.859375,,19284.783203125,20174.05078125,-210.083984375,-94.80859375
2024-10-10,19016.10546875,20241.759765625,,19714.71484375,20190.419921875,698.609375,-51.33984375
2024-10-11,19319.865234375,20271.970703125,,19299.00390625,20324.0390625,-20.861328125,52.068359375
2024-10-14,19344.044921875,20439.05078125,,19131.21875,20361.470703125,-212.826171875,-77.580078125
2024-10-15,19530.537109375,20159.830078125,,19213.041015625,20390.4609375,-317.49609375,230.630859375
2024-10-16,19160.384765625,20174.05078125,,19494.8671875,20066.9609375,334.482421875,-107.08984375
2024-10-17,19718.62109375,20190.419921875,,19016.10546875,20232.869140625,-702.515625,42.44921875
2024-10-18,20230.548828125,20324.0390625,,19319.865234375,20352.01953125,-910.68359375,27.98046875
2024-10-21,20189.2421875,20361.470703125,,19344.044921875,20351.0703125,-845.197265625,-10.400390625
2024-10-22,19489.169921875,20390.4609375,,19530.537109375,20550.650390625,41.3671875,160.189453125
2024-10-23,20738.90234375,20066.9609375,,19160.384765625,20387.69921875,-1578.517578125,320.73828125
2024-10-24,19744.07421875,20232.869140625,,19718.62109375,19890.419921875,-25.453125,-342.44921875
2024-10-25,20035.9453125,20352.01953125,,20230.548828125,20033.140625,194.603515625,-318.87890625
2024-10-28,20006.84375,20351.0703125,,20189.2421875,19963.599609375,182.3984375,-387.470703125
2024-10-29,20453.8515625,20550.650390625,,19489.169921875,20227.4609375,-964.681640625,-323.189453125
2024-10-30,19928.916015625,20387.69921875,,20738.90234375,20781.330078125,809.986328125,393.630859375
2024-10-31,20472.703125,19890.419921875,,19744.07421875,21101.5703125,-728.62890625,1211.150390625
2024-11-01,20428.72265625,20033.140625,,20035.9453125,21117.1796875,-392.77734375,1084.0390625
2024-11-04,20143.595703125,19963.599609375,,20006.84375,21106.58984375,-136.751953125,1142.990234375
2024-11-05,20207.953125,20227.4609375,,20453.8515625,21070.7890625,245.8984375,843.328125
2024-11-06,19832.40234375,20781.330078125,,19928.916015625,21036.16015625,96.513671875,254.830078125
2024-11-07,20493.232421875,21101.5703125,,20472.703125,20896.669921875,-20.529296875,-204.900390625
2024-11-08,20168.6953125,21117.1796875,,20428.72265625,20394.130859375,260.02734375,-723.048828125
2024-11-11,20464.2109375,21106.58984375,,20143.595703125,20539.189453125,-320.615234375,-567.400390625
2024-11-12,20339.087890625,21070.7890625,,20207.953125,20684.58984375,-131.134765625,-386.19921875
2024-11-13,20605.974609375,21036.16015625,,19832.40234375,20667.099609375,-773.572265625,-369.060546875
2024-11-14,20630.919921875,20896.669921875,,20493.232421875,20740.779296875,-137.6875,-155.890625
2024-11-15,20763.8203125,20394.130859375,,20168.6953125,20776.23046875,-595.125,382.099609375
2024-11-18,20185.28515625,20539.189453125,,20464.2109375,20804.890625,278.92578125,265.701171875
2024-11-19,20050.009765625,20684.58984375,,20339.087890625,20922.900390625,289.078125,238.310546875
2024-11-20,20851.4765625,20667.099609375,,20605.974609375,20744.490234375,-245.501953125,77.390625
2024-11-21,20722.8125,20740.779296875,,20630.919921875,20930.369140625,-91.892578125,189.58984375
2024-11-22,20770.931640625,20776.23046875,,20763.8203125,21129.94140625,-7.111328125,353.7109375
2024-11-25,20715.40625,20804.890625,,20185.28515625,21229.3203125,-530.12109375,424.4296875
2024-11-26,20604.083984375,20922.900390625,,20050.009765625,21492.359375,-554.07421875,569.458984375
2024-11-27,20980.611328125,20744.490234375,,20851.4765625,21425.220703125,-129.134765625,680.73046875
2024-11-29,21001.529296875,20930.369140625,,20722.8125,21622.25,-278.716796875,691.880859375
2024-12-02,20714.03515625,21129.94140625,,20770.931640625,21440.8203125,56.896484375,310.87890625
2024-12-03,20737.373046875,21229.3203125,2025-01-19 20:39:26,20715.40625,21368.1796875,-21.966796875,138.859375
2024-12-04,20819.64453125,21492.359375,2025-01-19 20:42:19,20604.083984375,21763.98046875,-215.560546875,271.62109375
2024-12-05,20910.1796875,21425.220703125,2025-01-19 20:45:14,20980.611328125,21615.26953125,70.431640625,190.048828125
2024-12-06,20589.869140625,21622.25,2025-01-19 20:48:07,21001.529296875,21780.25,411.66015625,158.0
2024-12-09,20639.80859375,21440.8203125,2025-01-19 20:50:59,20714.03515625,22096.66015625,74.2265625,655.83984375
2024-12-10,20560.498046875,21368.1796875,2025-01-19 20:53:56,20737.373046875,22001.080078125,176.875,632.900390625
2024-12-11,20943.65234375,21763.98046875,2025-01-19 20:56:50,20819.64453125,21209.3203125,-124.0078125,-554.66015625
2024-12-12,20454.021484375,21615.26953125,2025-01-19 20:59:42,20910.1796875,21110.509765625,456.158203125,-504.759765625
2024-12-13,20886.76953125,21780.25,2025-01-19 21:02:36,20589.869140625,21289.150390625,-296.900390625,-491.099609375
2024-12-16,21317.619140625,22096.66015625,2025-01-19 21:05:29,20639.80859375,21503.169921875,-677.810546875,-593.490234375
2024-12-17,21784.16015625,22001.080078125,2025-01-19 21:08:22,20560.498046875,21797.650390625,-1223.662109375,-203.4296875
2024-12-18,21685.814453125,21209.3203125,2025-01-19 21:11:16,20943.65234375,21768.310546875,-742.162109375,558.990234375
2024-12-19,21592.876953125,21110.509765625,2025-01-19 21:14:10,20454.021484375,21473.01953125,-1138.85546875,362.509765625
2024-12-20,21574.0703125,21289.150390625,2025-01-19 21:17:04,20886.76953125,21197.08984375,-687.30078125,-92.060546875
2024-12-23,20901.462890625,21503.169921875,2025-01-19 21:19:57,21317.619140625,21012.169921875,416.15625,-491.0
2024-12-24,21108.853515625,21797.650390625,2025-01-19 21:22:51,21784.16015625,20975.619140625,675.306640625,-822.03125
2024-12-26,21242.662109375,21768.310546875,2025-01-19 21:28:35,21685.814453125,21326.16015625,443.15234375,-442.150390625
2024-12-27,21385.611328125,21473.01953125,2025-01-19 21:31:27,21592.876953125,21559.5,207.265625,86.48046875
2024-12-30,21739.888671875,21197.08984375,2025-01-19 21:34:21,21574.0703125,21173.0390625,-165.818359375,-24.05078125
2024-12-31,21462.80859375,21012.169921875,2025-01-19 21:37:14,20901.462890625,21180.970703125,-561.345703125,168.80078125
2025-01-02,21304.326171875,20975.619140625,2025-01-19 21:43:01,21108.853515625,20847.580078125,-195.47265625,-128.0390625
