Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-12,60600.16015625,71481.2890625,,63748.92578125,61912.7734375,3148.765625,-9568.515625
2024-03-13,62883.5390625,73083.5,,64819.76953125,67913.671875,1936.23046875,-5169.828125
2024-03-14,65693.6796875,71396.59375,,58631.37890625,65491.390625,-7062.30078125,-5905.203125
2024-03-15,63418.34375,69403.7734375,,56714.58984375,63778.76171875,-6703.75390625,-5625.01171875
2024-03-16,60651.83984375,65315.1171875,,61429.484375,64062.203125,777.64453125,-1252.9140625
2024-03-19,64052.02734375,61912.7734375,,60600.16015625,69987.8359375,-3451.8671875,8075.0625
2024-03-20,61589.74609375,67913.671875,,62883.5390625,69455.34375,1293.79296875,1541.671875
2024-03-21,65926.8515625,65491.390625,,65693.6796875,70744.953125,-233.171875,5253.5625
2024-03-22,67648.484375,63778.76171875,,63418.34375,69892.828125,-4230.140625,6114.06640625
2024-03-23,64321.04296875,64062.203125,,60651.83984375,69645.3046875,-3669.203125,5583.1015625
2024-03-26,68199.5546875,69987.8359375,,64052.02734375,65446.97265625,-4147.52734375,-4540.86328125
2024-03-27,66750.84375,69455.34375,,61589.74609375,65980.8125,-5161.09765625,-3474.53125
2024-03-28,69787.65625,70744.953125,,65926.8515625,68508.84375,-3860.8046875,-2236.109375
2024-03-29,66184.5078125,69892.828125,,67648.484375,67837.640625,1463.9765625,-2055.1875
2024-03-30,65021.61328125,69645.3046875,,64321.04296875,68896.109375,-700.5703125,-749.1953125
2024-04-02,64851.3984375,65446.97265625,,68199.5546875,69139.015625,3348.15625,3692.04296875
2024-04-03,62290.4609375,65980.8125,,66750.84375,70587.8828125,4460.3828125,4607.0703125
2024-04-04,60319.8828125,68508.84375,,69787.65625,70060.609375,9467.7734375,1551.765625
2024-04-05,65099.296875,67837.640625,,66184.5078125,67195.8671875,1085.2109375,-641.7734375
2024-04-06,67473.3359375,68896.109375,,65021.61328125,63821.47265625,-2451.72265625,-5074.63671875
2024-04-09,71565.5,69139.015625,,64851.3984375,63811.86328125,-6714.1015625,-5327.15234375
2024-04-10,65629.359375,70587.8828125,,62290.4609375,61276.69140625,-3338.8984375,-9311.19140625
2024-04-11,70964.5703125,70060.609375,,60319.8828125,63512.75390625,-10644.6875,-6547.85546875
2024-04-12,70912.3828125,67195.8671875,,65099.296875,63843.5703125,-5813.0859375,-3352.296875
2024-04-13,67871.296875,63821.47265625,,67473.3359375,64994.44140625,-397.9609375,1172.96875
2024-04-16,67262.1171875,63811.86328125,,71565.5,66407.2734375,4303.3828125,2595.41015625
2024-04-17,64084.9296875,61276.69140625,,65629.359375,64276.8984375,1544.4296875,3000.20703125
2024-04-18,60866.90234375,63512.75390625,,70964.5703125,64481.70703125,10097.66796875,968.953125
2024-04-19,61649.3046875,63843.5703125,,70912.3828125,63755.3203125,9263.078125,-88.25
2024-04-20,60963.515625,64994.44140625,,67871.296875,63419.140625,6907.78125,-1575.30078125
2024-04-23,68167.9609375,66407.2734375,,67262.1171875,60636.85546875,-905.84375,-5770.41796875
2024-04-24,67153.5,64276.8984375,,64084.9296875,58254.01171875,-3068.5703125,-6022.88671875
2024-04-25,59362.0703125,64481.70703125,,60866.90234375,59123.43359375,1504.83203125,-5358.2734375
2024-04-26,62732.81640625,63755.3203125,,61649.3046875,62889.8359375,-1083.51171875,-865.484375
2024-04-27,60867.2578125,63419.140625,,60963.515625,63891.47265625,96.2578125,472.33203125
2024-04-30,58744.37890625,60636.85546875,,68167.9609375,62334.81640625,9423.58203125,1697.9609375
2024-05-01,64676.25,58254.01171875,,67153.5,61187.94140625,2477.25,2933.9296875
2024-05-02,57330.00390625,59123.43359375,,59362.0703125,63049.9609375,2032.06640625,3926.52734375
2024-05-03,59910.25,62889.8359375,,62732.81640625,60792.77734375,2822.56640625,-2097.05859375
2024-05-04,59287.79296875,63891.47265625,,60867.2578125,60793.7109375,1579.46484375,-3097.76171875
2024-05-07,59551.30859375,62334.81640625,,58744.37890625,61552.7890625,-806.9296875,-782.02734375
2024-05-08,57624.79296875,61187.94140625,,64676.25,66267.4921875,7051.45703125,5079.55078125
2024-05-09,55711.8046875,63049.9609375,,57330.00390625,65231.58203125,1618.19921875,2181.62109375
2024-05-10,54189.55078125,60792.77734375,,59910.25,67051.875,5720.69921875,6259.09765625
2024-05-11,59110.3125,60793.7109375,,59287.79296875,66940.8046875,177.48046875,6147.09375
2024-05-14,63529.87109375,61552.7890625,,59551.30859375,70136.53125,-3978.5625,8583.7421875
2024-05-15,58895.8359375,66267.4921875,,57624.79296875,69122.3359375,-1271.04296875,2854.84375
2024-05-16,64719.890625,65231.58203125,,55711.8046875,67929.5625,-9008.0859375,2697.98046875
2024-05-17,61572.36328125,67051.875,,54189.55078125,68526.1015625,-7382.8125,1474.2265625
2024-05-18,67987.1171875,66940.8046875,,59110.3125,69265.9453125,-8876.8046875,2325.140625
2024-05-21,64826.9453125,70136.53125,,63529.87109375,68296.21875,-1297.07421875,-1840.3125
2024-05-22,67552.8671875,69122.3359375,,58895.8359375,67578.09375,-8657.03125,-1544.2421875
2024-05-23,70620.1015625,67929.5625,,64719.890625,68364.9921875,-5900.2109375,435.4296875
2024-05-24,68267.9296875,68526.1015625,,61572.36328125,67491.4140625,-6695.56640625,-1034.6875
2024-05-25,66171.796875,69265.9453125,,67987.1171875,67706.9375,1815.3203125,-1559.0078125
2024-05-28,66623.8515625,68296.21875,,64826.9453125,70567.765625,-1796.90625,2271.546875
2024-05-29,68450.46875,67578.09375,,67552.8671875,71082.8203125,-897.6015625,3504.7265625
2024-05-30,65075.72265625,68364.9921875,,70620.1015625,70757.1640625,5544.37890625,2392.171875
2024-05-31,67820.453125,67491.4140625,,68267.9296875,69342.5859375,447.4765625,1851.171875
2024-06-01,66142.7734375,67706.9375,,66171.796875,69305.7734375,29.0234375,1598.8359375
2024-06-04,69363.0546875,70567.765625,,66623.8515625,67332.03125,-2739.203125,-3235.734375
2024-06-05,68765.5078125,71082.8203125,,68450.46875,68241.1875,-315.0390625,-2841.6328125
2024-06-06,70126.75,70757.1640625,,65075.72265625,66756.3984375,-5051.02734375,-4000.765625
2024-06-07,67790.171875,69342.5859375,,67820.453125,66011.09375,30.28125,-3331.4921875
2024-06-08,68130.4609375,69305.7734375,,66142.7734375,66191.0,-1987.6875,-3114.7734375
2024-06-11,68308.7265625,67332.03125,,69363.0546875,65140.74609375,1054.328125,-2191.28515625
2024-06-12,67065.984375,68241.1875,,68765.5078125,64960.296875,1699.5234375,-3280.890625
2024-06-13,68281.71875,66756.3984375,,70126.75,64828.65625,1845.03125,-1927.7421875
2024-06-14,66846.2578125,66011.09375,,67790.171875,64096.19921875,943.9140625,-1914.89453125
2024-06-15,67017.0,66191.0,,68130.4609375,64252.578125,1113.4609375,-1938.421875
2024-06-18,68090.1953125,65140.74609375,,68308.7265625,61804.640625,218.53125,-3336.10546875
2024-06-19,67411.265625,64960.296875,,67065.984375,60811.27734375,-345.28125,-4149.01953125
2024-06-20,65770.8359375,64828.65625,,68281.71875,61604.80078125,2510.8828125,-3223.85546875
2024-06-21,65081.3671875,64096.19921875,,66846.2578125,60320.13671875,1764.890625,-3776.0625
2024-06-22,65691.1796875,64252.578125,,67017.0,60887.37890625,1325.8203125,-3365.19921875
2024-06-25,59286.6015625,61804.640625,,68090.1953125,62029.015625,8803.59375,224.375
2024-06-26,59846.57421875,60811.27734375,,67411.265625,60173.921875,7564.69140625,-637.35546875
2024-06-27,59143.796875,61604.80078125,,65770.8359375,56977.703125,6627.0390625,-4627.09765625
2024-06-28,59667.390625,60320.13671875,,65081.3671875,56662.375,5413.9765625,-3657.76171875
2024-06-29,60986.2890625,60887.37890625,,65691.1796875,58303.5390625,4704.890625,-2583.83984375
2024-07-02,59666.57421875,62029.015625,,59286.6015625,58009.2265625,-379.97265625,-4019.7890625
2024-07-03,59951.8828125,60173.921875,,59846.57421875,57742.49609375,-105.30859375,-2431.42578125
2024-07-04,60923.1640625,56977.703125,,59143.796875,57344.9140625,-1779.3671875,367.2109375
2024-07-05,59562.1484375,56662.375,,59667.390625,57899.46484375,105.2421875,1237.08984375
2024-07-06,60108.94140625,58303.5390625,,60986.2890625,59231.953125,877.34765625,928.4140625
2024-07-09,61393.63671875,58009.2265625,,59666.57421875,65097.1484375,-1727.0625,7087.921875
2024-07-10,56904.41015625,57742.49609375,,59951.8828125,64118.79296875,3047.47265625,6376.296875
2024-07-11,60853.3984375,57344.9140625,,60923.1640625,63974.06640625,69.765625,6629.15234375
