Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-11,18116.142578125,17951.689453125,,17947.908203125,17985.009765625,-168.234375,33.3203125
2024-03-12,17991.890625,18219.109375,,17859.541015625,18032.19921875,-132.349609375,-186.91015625
2024-03-13,17969.119140625,18068.470703125,,18069.45703125,18240.109375,100.337890625,171.638671875
2024-03-14,18156.8828125,18014.810546875,,18251.93359375,18320.380859375,95.05078125,305.5703125
2024-03-15,17820.5234375,17808.25,,17581.00390625,18339.439453125,-239.51953125,531.189453125
2024-03-18,18019.220703125,17985.009765625,,18116.142578125,18277.060546875,96.921875,292.05078125
2024-03-19,17856.654296875,18032.19921875,,17991.890625,18210.5390625,135.236328125,178.33984375
2024-03-20,18043.79296875,18240.109375,,17969.119140625,18280.83984375,-74.673828125,40.73046875
2024-03-21,17747.345703125,18320.380859375,,18156.8828125,18254.689453125,409.537109375,-65.69140625
2024-03-22,17962.904296875,18339.439453125,,17820.5234375,18293.19921875,-142.380859375,-46.240234375
2024-03-25,18281.396484375,18277.060546875,,18019.220703125,18121.779296875,-262.17578125,-155.28125
2024-03-26,18122.9453125,18210.5390625,,17856.654296875,18160.189453125,-266.291015625,-50.349609375
2024-03-27,18178.623046875,18280.83984375,,18043.79296875,17878.779296875,-134.830078125,-402.060546875
2024-03-28,18195.9765625,18254.689453125,,17747.345703125,18108.4609375,-448.630859375,-146.228515625
2024-04-01,18122.0625,18293.19921875,,17962.904296875,18100.189453125,-159.158203125,-193.009765625
2024-04-02,18128.763671875,18121.779296875,,18281.396484375,18169.900390625,152.6328125,48.12109375
2024-04-03,18187.974609375,18160.189453125,,18122.9453125,18011.66015625,-65.029296875,-148.529296875
2024-04-04,18238.248046875,17878.779296875,,18178.623046875,18307.98046875,-59.625,429.201171875
2024-04-05,18391.00390625,18108.4609375,,18195.9765625,18003.490234375,-195.02734375,-104.970703125
2024-04-08,18065.943359375,18100.189453125,,18122.0625,17706.830078125,56.119140625,-393.359375
2024-04-09,18174.287109375,18169.900390625,,18128.763671875,17713.66015625,-45.5234375,-456.240234375
2024-04-10,18340.9765625,18011.66015625,,18187.974609375,17493.619140625,-153.001953125,-518.041015625
2024-04-11,17974.595703125,18307.98046875,,18238.248046875,17394.310546875,263.65234375,-913.669921875
2024-04-12,18044.677734375,18003.490234375,,18391.00390625,17037.650390625,346.326171875,-965.83984375
2024-04-15,18028.271484375,17706.830078125,,18065.943359375,17210.890625,37.671875,-495.939453125
2024-04-16,18032.05859375,17713.66015625,,18174.287109375,17471.470703125,142.228515625,-242.189453125
2024-04-17,17690.548828125,17493.619140625,,18340.9765625,17526.80078125,650.427734375,33.181640625
2024-04-18,17919.5546875,17394.310546875,,17974.595703125,17430.5,55.041015625,36.189453125
2024-04-19,18166.78515625,17037.650390625,,18044.677734375,17718.30078125,-122.107421875,680.650390625
2024-04-22,17817.775390625,17210.890625,,18028.271484375,17782.720703125,210.49609375,571.830078125
2024-04-23,16606.48828125,17471.470703125,,18032.05859375,17440.689453125,1425.5703125,-30.78125
2024-04-24,17643.880859375,17526.80078125,,17690.548828125,17318.55078125,46.66796875,-208.25
2024-04-25,16981.6953125,17430.5,,17919.5546875,17541.5390625,937.859375,111.0390625
2024-04-26,17252.806640625,17718.30078125,,18166.78515625,17890.80078125,913.978515625,172.5
2024-04-29,17308.107421875,17782.720703125,,17817.775390625,18093.5703125,509.66796875,310.849609375
2024-04-30,17561.185546875,17440.689453125,,16606.48828125,18091.44921875,-954.697265625,650.759765625
2024-05-01,16896.763671875,17318.55078125,,17643.880859375,18085.009765625,747.1171875,766.458984375
2024-05-02,17264.23828125,17541.5390625,,16981.6953125,18113.4609375,-282.54296875,571.921875
2024-05-03,17002.478515625,17890.80078125,,17252.806640625,18161.1796875,250.328125,270.37890625
2024-05-06,17690.11328125,18093.5703125,,17308.107421875,18198.609375,-382.005859375,105.0390625
2024-05-07,17774.9375,18091.44921875,,17561.185546875,18322.76953125,-213.751953125,231.3203125
2024-05-08,17404.263671875,18085.009765625,,16896.763671875,18596.650390625,-507.5,511.640625
2024-05-09,18053.22265625,18113.4609375,,17264.23828125,18557.9609375,-788.984375,444.5
2024-05-10,17790.095703125,18161.1796875,,17002.478515625,18546.23046875,-787.6171875,385.05078125
2024-05-13,18028.71484375,18198.609375,,17690.11328125,18674.189453125,-338.6015625,475.580078125
2024-05-14,18056.189453125,18322.76953125,,17774.9375,18713.80078125,-281.251953125,391.03125
2024-05-15,18118.650390625,18596.650390625,,17404.263671875,18705.19921875,-714.38671875,108.548828125
2024-05-16,18320.59765625,18557.9609375,,18053.22265625,18623.390625,-267.375,65.4296875
2024-05-17,18351.99609375,18546.23046875,,17790.095703125,18808.349609375,-561.900390625,262.119140625
2024-05-20,18412.76171875,18674.189453125,,18028.71484375,18869.439453125,-384.046875,195.25
2024-05-21,18283.1328125,18713.80078125,,18056.189453125,18736.75,-226.943359375,22.94921875
2024-05-22,18618.55078125,18705.19921875,,18118.650390625,18538.66015625,-499.900390625,-166.5390625
2024-05-23,18298.544921875,18623.390625,,18320.59765625,18536.650390625,22.052734375,-86.740234375
2024-05-24,18462.306640625,18808.349609375,,18351.99609375,18600.970703125,-110.310546875,-207.37890625
2024-05-28,17794.9765625,18869.439453125,,18412.76171875,18654.83984375,617.78515625,-214.599609375
2024-05-29,17837.220703125,18736.75,,18283.1328125,19035.05078125,445.912109375,298.30078125
2024-05-30,17702.103515625,18538.66015625,,18618.55078125,19021.189453125,916.447265625,482.529296875
2024-05-31,18565.3515625,18536.650390625,,18298.544921875,19000.94921875,-266.806640625,464.298828125
2024-06-03,18067.50390625,18600.970703125,,18462.306640625,19074.669921875,394.802734375,473.69921875
2024-06-04,18649.76171875,18654.83984375,,17794.9765625,19210.1796875,-854.78515625,555.33984375
2024-06-05,18420.529296875,19035.05078125,,17837.220703125,19465.1796875,-583.30859375,430.12890625
2024-06-06,18971.21484375,19021.189453125,,17702.103515625,19576.919921875,-1269.111328125,555.73046875
2024-06-07,19014.17578125,19000.94921875,,18565.3515625,19659.80078125,-448.82421875,658.8515625
2024-06-10,18587.701171875,19074.669921875,,18067.50390625,19902.75,-520.197265625,828.080078125
2024-06-11,18573.77734375,19210.1796875,,18649.76171875,19908.859375,75.984375,698.6796875
2024-06-12,17712.216796875,19465.1796875,,18420.529296875,19752.30078125,708.3125,287.12109375
2024-06-13,19071.953125,19576.919921875,,18971.21484375,19700.4296875,-100.73828125,123.509765625
2024-06-14,19271.720703125,19659.80078125,,19014.17578125,19474.619140625,-257.544921875,-185.181640625
2024-06-17,18340.81640625,19902.75,,18587.701171875,19701.130859375,246.884765625,-201.619140625
2024-06-18,18939.9921875,19908.859375,,18573.77734375,19751.05078125,-366.21484375,-157.80859375
2024-06-20,18890.978515625,19752.30078125,,17712.216796875,19789.029296875,-1178.76171875,36.728515625
2024-06-21,19200.560546875,19700.4296875,,19071.953125,19682.869140625,-128.607421875,-17.560546875
2024-06-24,19131.4609375,19474.619140625,,19271.720703125,19812.220703125,140.259765625,337.6015625
2024-06-25,18649.529296875,19701.130859375,,18340.81640625,20011.890625,-308.712890625,310.759765625
2024-06-26,19416.892578125,19751.05078125,,18939.9921875,20186.630859375,-476.900390625,435.580078125
2024-06-27,19579.763671875,19789.029296875,,18890.978515625,20391.970703125,-688.78515625,602.94140625
2024-06-28,18945.01953125,19682.869140625,,19200.560546875,20439.5390625,255.541015625,756.669921875
