Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
2024-03-11,18371.169921875,17951.689453125,,18503.84765625,17985.009765625,132.677734375,33.3203125
2024-03-12,18064.240234375,18219.109375,,18070.919921875,18032.19921875,6.6796875,-186.91015625
2024-03-13,17859.064453125,18068.470703125,,18165.009765625,18240.109375,305.9453125,171.638671875
2024-03-14,18004.6015625,18014.810546875,,18525.48046875,18320.380859375,520.87890625,305.5703125
2024-03-15,18075.662109375,17808.25,,18198.166015625,18339.439453125,122.50390625,531.189453125
2024-03-18,18132.328125,17985.009765625,,18371.169921875,18277.060546875,238.841796875,292.05078125
2024-03-19,18111.5234375,18032.19921875,,18064.240234375,18210.5390625,-47.283203125,178.33984375
2024-03-20,18028.33203125,18240.109375,,17859.064453125,18280.83984375,-169.267578125,40.73046875
2024-03-21,18061.10546875,18320.380859375,,18004.6015625,18254.689453125,-56.50390625,-65.69140625
2024-03-22,18174.201171875,18339.439453125,,18075.662109375,18293.19921875,-98.5390625,-46.240234375
2024-03-25,18036.482421875,18277.060546875,,18132.328125,18121.779296875,95.845703125,-155.28125
2024-03-26,18159.203125,18210.5390625,,18111.5234375,18160.189453125,-47.6796875,-50.349609375
2024-03-27,18080.98828125,18280.83984375,,18028.33203125,17878.779296875,-52.65625,-402.060546875
2024-03-28,18255.828125,18254.689453125,,18061.10546875,18108.4609375,-194.72265625,-146.228515625
2024-04-01,18166.353515625,18293.19921875,,18174.201171875,18100.189453125,7.84765625,-193.009765625
2024-04-02,18354.28125,18121.779296875,,18036.482421875,18169.900390625,-317.798828125,48.12109375
2024-04-03,18233.791015625,18160.189453125,,18159.203125,18011.66015625,-74.587890625,-148.529296875
2024-04-04,18314.474609375,17878.779296875,,18080.98828125,18307.98046875,-233.486328125,429.201171875
2024-04-05,18247.2109375,18108.4609375,,18255.828125,18003.490234375,8.6171875,-104.970703125
2024-04-08,18128.275390625,18100.189453125,,18166.353515625,17706.830078125,38.078125,-393.359375
2024-04-09,18145.53515625,18169.900390625,,18354.28125,17713.66015625,208.74609375,-456.240234375
2024-04-10,17997.599609375,18011.66015625,,18233.791015625,17493.619140625,236.19140625,-518.041015625
2024-04-11,17977.869140625,18307.98046875,,18314.474609375,17394.310546875,336.60546875,-913.669921875
2024-04-12,17963.5859375,18003.490234375,,18247.2109375,17037.650390625,283.625,-965.83984375
2024-04-15,17974.27734375,17706.830078125,,18128.275390625,17210.890625,153.998046875,-495.939453125
2024-04-16,18214.47265625,17713.66015625,,18145.53515625,17471.470703125,-68.9375,-242.189453125
2024-04-17,17937.7734375,17493.619140625,,17997.599609375,17526.80078125,59.826171875,33.181640625
2024-04-18,18087.4296875,17394.310546875,,17977.869140625,17430.5,-109.560546875,36.189453125
2024-04-19,18050.744140625,17037.650390625,,17963.5859375,17718.30078125,-87.158203125,680.650390625
2024-04-22,17134.025390625,17210.890625,,17974.27734375,17782.720703125,840.251953125,571.830078125
2024-04-23,17691.44140625,17471.470703125,,18214.47265625,17440.689453125,523.03125,-30.78125
2024-04-24,17810.92578125,17526.80078125,,17937.7734375,17318.55078125,126.84765625,-208.25
2024-04-25,17656.787109375,17430.5,,18087.4296875,17541.5390625,430.642578125,111.0390625
2024-04-26,17541.345703125,17718.30078125,,18050.744140625,17890.80078125,509.3984375,172.5
2024-04-29,17234.365234375,17782.720703125,,17134.025390625,18093.5703125,-100.33984375,310.849609375
2024-04-30,17119.001953125,17440.689453125,,17691.44140625,18091.44921875,572.439453125,650.759765625
2024-05-01,17664.712890625,17318.55078125,,17810.92578125,18085.009765625,146.212890625,766.458984375
2024-05-02,17350.279296875,17541.5390625,,17656.787109375,18113.4609375,306.5078125,571.921875
2024-05-03,17504.24609375,17890.80078125,,17541.345703125,18161.1796875,37.099609375,270.37890625
2024-05-06,17973.1484375,18093.5703125,,17234.365234375,18198.609375,-738.783203125,105.0390625
2024-05-07,17687.828125,18091.44921875,,17119.001953125,18322.76953125,-568.826171875,231.3203125
2024-05-08,17884.7109375,18085.009765625,,17664.712890625,18596.650390625,-219.998046875,511.640625
2024-05-09,18060.4765625,18113.4609375,,17350.279296875,18557.9609375,-710.197265625,444.5
2024-05-10,18253.302734375,18161.1796875,,17504.24609375,18546.23046875,-749.056640625,385.05078125
2024-05-13,18351.91015625,18198.609375,,17973.1484375,18674.189453125,-378.76171875,475.580078125
2024-05-14,18213.19921875,18322.76953125,,17687.828125,18713.80078125,-525.37109375,391.03125
2024-05-15,18207.271484375,18596.650390625,,17884.7109375,18705.19921875,-322.560546875,108.548828125
2024-05-16,18517.81640625,18557.9609375,,18060.4765625,18623.390625,-457.33984375,65.4296875
2024-05-17,18129.48828125,18546.23046875,,18253.302734375,18808.349609375,123.814453125,262.119140625
2024-05-20,18940.984375,18674.189453125,,18351.91015625,18869.439453125,-589.07421875,195.25
2024-05-21,18326.779296875,18713.80078125,,18213.19921875,18736.75,-113.580078125,22.94921875
2024-05-22,18326.2265625,18705.19921875,,18207.271484375,18538.66015625,-118.955078125,-166.5390625
2024-05-23,18174.6640625,18623.390625,,18517.81640625,18536.650390625,343.15234375,-86.740234375
2024-05-24,17622.916015625,18808.349609375,,18129.48828125,18600.970703125,506.572265625,-207.37890625
2024-05-28,18109.470703125,18869.439453125,,18940.984375,18654.83984375,831.513671875,-214.599609375
2024-05-29,17161.931640625,18736.75,,18326.779296875,19035.05078125,1164.84765625,298.30078125
2024-05-30,17981.462890625,18538.66015625,,18326.2265625,19021.189453125,344.763671875,482.529296875
2024-05-31,18804.919921875,18536.650390625,,18174.6640625,19000.94921875,-630.255859375,464.298828125
2024-06-03,18360.720703125,18600.970703125,,17622.916015625,19074.669921875,-737.8046875,473.69921875
2024-06-04,18680.427734375,18654.83984375,,18109.470703125,19210.1796875,-570.95703125,555.33984375
2024-06-05,18385.607421875,19035.05078125,,17161.931640625,19465.1796875,-1223.67578125,430.12890625
2024-06-06,19004.6875,19021.189453125,,17981.462890625,19576.919921875,-1023.224609375,555.73046875
2024-06-07,19001.966796875,19000.94921875,,18804.919921875,19659.80078125,-197.046875,658.8515625
2024-06-10,18779.845703125,19074.669921875,,18360.720703125,19902.75,-419.125,828.080078125
2024-06-11,18845.876953125,19210.1796875,,18680.427734375,19908.859375,-165.44921875,698.6796875
2024-06-12,18440.59765625,19465.1796875,,18385.607421875,19752.30078125,-54.990234375,287.12109375
2024-06-13,19212.3125,19576.919921875,,19004.6875,19700.4296875,-207.625,123.509765625
2024-06-14,19509.375,19659.80078125,,19001.966796875,19474.619140625,-507.408203125,-185.181640625
2024-06-17,19283.408203125,19902.75,,18779.845703125,19701.130859375,-503.5625,-201.619140625
2024-06-18,19848.271484375,19908.859375,,18845.876953125,19751.05078125,-1002.39453125,-157.80859375
2024-06-20,19959.90234375,19752.30078125,,18440.59765625,19789.029296875,-1519.3046875,36.728515625
2024-06-21,19813.33203125,19700.4296875,,19212.3125,19682.869140625,-601.01953125,-17.560546875
2024-06-24,18905.546875,19474.619140625,,19509.375,19812.220703125,603.828125,337.6015625
2024-06-25,18570.328125,19701.130859375,,19283.408203125,20011.890625,713.080078125,310.759765625
2024-06-26,19203.466796875,19751.05078125,,19848.271484375,20186.630859375,644.8046875,435.580078125
2024-06-27,19098.888671875,19789.029296875,,19959.90234375,20391.970703125,861.013671875,602.94140625
2024-06-28,19090.880859375,19682.869140625,,19813.33203125,20439.5390625,722.451171875,756.669921875
2024-07-01,19477.109375,19812.220703125,,18905.546875,20453.01953125,-571.5625,640.798828125
2024-07-02,19249.984375,20011.890625,,18570.328125,20675.380859375,-679.65625,663.490234375
2024-07-03,19899.572265625,20186.630859375,,19203.466796875,20211.359375,-696.10546875,24.728515625
2024-07-05,20161.125,20391.970703125,,19098.888671875,20331.490234375,-1062.236328125,-60.48046875
2024-07-08,20372.673828125,20439.5390625,,19090.880859375,20386.880859375,-1281.79296875,-52.658203125
2024-07-09,19495.126953125,20453.01953125,,19477.109375,20398.619140625,-18.017578125,-54.400390625
2024-07-10,20516.044921875,20675.380859375,,19249.984375,19799.140625,-1266.060546875,-876.240234375
2024-07-11,20122.333984375,20211.359375,,19899.572265625,19705.08984375,-222.76171875,-506.26953125
2024-07-12,19621.240234375,20331.490234375,,20161.125,19522.619140625,539.884765625,-808.87109375
2024-07-15,20158.0390625,20386.880859375,,20372.673828125,19822.869140625,214.634765625,-564.01171875
2024-07-16,20128.62109375,20398.619140625,,19495.126953125,19754.33984375,-633.494140625,-644.279296875
2024-07-17,19692.1640625,19799.140625,,20516.044921875,19032.390625,823.880859375,-766.75
2024-07-18,20373.46875,19705.08984375,,20122.333984375,18830.580078125,-251.134765625,-874.509765625
2024-07-19,19108.521484375,19522.619140625,,19621.240234375,19023.66015625,512.71875,-498.958984375
2024-07-22,19385.744140625,19822.869140625,,20158.0390625,19059.490234375,772.294921875,-763.37890625
2024-07-23,19720.4921875,19754.33984375,,20128.62109375,18796.26953125,408.12890625,-958.0703125
2024-07-24,19682.822265625,19032.390625,,19692.1640625,19362.4296875,9.341796875,330.0390625
2024-07-25,19670.615234375,18830.580078125,,20373.46875,18890.390625,702.853515625,59.810546875
2024-07-26,19365.462890625,19023.66015625,,19108.521484375,18440.849609375,-256.94140625,-582.810546875
2024-07-29,18660.142578125,19059.490234375,,19385.744140625,17895.16015625,725.6015625,-1164.330078125
2024-07-30,18843.330078125,18796.26953125,,19720.4921875,18077.919921875,877.162109375,-718.349609375
2024-07-31,18983.189453125,19362.4296875,,19682.822265625,17867.369140625,699.6328125,-1495.060546875
2024-08-01,19282.201171875,18890.390625,,19670.615234375,18413.8203125,388.4140625,-476.5703125
2024-08-02,18521.384765625,18440.849609375,,19365.462890625,18513.099609375,844.078125,72.25
2024-08-05,18807.724609375,17895.16015625,2024-11-25 00:30:04,18660.142578125,18542.029296875,-147.58203125,646.869140625
2024-08-06,18155.1328125,18077.919921875,2024-11-25 00:32:27,18843.330078125,19006.4296875,688.197265625,928.509765625
2024-08-07,17471.53125,17867.369140625,2024-11-25 00:34:48,18983.189453125,19022.6796875,1511.658203125,1155.310546875
2024-08-08,16988.505859375,18413.8203125,2024-11-25 00:37:13,19282.201171875,19490.150390625,2293.6953125,1076.330078125
2024-08-09,17345.083984375,18513.099609375,2024-11-25 00:39:34,18521.384765625,19508.51953125,1176.30078125,995.419921875
2024-08-12,17913.974609375,18542.029296875,2024-11-25 00:41:56,18807.724609375,19766.490234375,893.75,1224.4609375
2024-08-13,17608.68359375,19006.4296875,2024-11-25 00:44:19,18155.1328125,19719.8203125,546.44921875,713.390625
2024-08-14,18961.234375,19022.6796875,2024-11-25 00:46:42,17471.53125,19824.83984375,-1489.703125,802.16015625
2024-08-15,18995.900390625,19490.150390625,2024-11-25 00:49:05,16988.505859375,19491.83984375,-2007.39453125,1.689453125
2024-08-16,19411.74609375,19508.51953125,2024-11-25 00:51:27,17345.083984375,19720.869140625,-2066.662109375,212.349609375
2024-08-19,19462.84765625,19766.490234375,2024-11-25 00:53:50,17913.974609375,19516.439453125,-1548.873046875,-250.05078125
2024-08-20,19845.61328125,19719.8203125,2024-11-25 00:56:11,17608.68359375,19581.51953125,-2236.9296875,-138.30078125
2024-08-21,20169.076171875,19824.83984375,2024-11-25 00:58:33,18961.234375,19350.779296875,-1207.841796875,-474.060546875
2024-08-22,19691.171875,19491.83984375,2024-11-25 01:00:55,18995.900390625,19325.44921875,-695.271484375,-166.390625
2024-08-23,19948.134765625,19720.869140625,2024-11-25 01:03:16,19411.74609375,19574.640625,-536.388671875,-146.228515625
2024-08-26,19554.015625,19516.439453125,2024-11-25 01:05:39,19462.84765625,18958.740234375,-91.16796875,-557.69921875
2024-08-27,19586.595703125,19581.51953125,2024-11-25 01:08:00,19845.61328125,18921.400390625,259.017578125,-660.119140625
2024-08-28,19090.42578125,19350.779296875,2024-11-25 01:10:22,20169.076171875,18930.330078125,1078.650390625,-420.44921875
2024-08-29,19356.099609375,19325.44921875,2024-11-25 01:12:45,19691.171875,18421.310546875,335.072265625,-904.138671875
2024-08-30,19040.021484375,19574.640625,2024-11-25 01:15:06,19948.134765625,18660.779296875,908.11328125,-913.861328125
2024-09-03,19359.158203125,18958.740234375,2024-11-25 01:19:49,19554.015625,18829.140625,194.857421875,-129.599609375
2024-09-04,19712.06640625,18921.400390625,2024-11-25 01:22:09,19586.595703125,19237.30078125,-125.470703125,315.900390625
2024-09-05,18407.49609375,18930.330078125,2024-11-25 01:24:30,19090.42578125,19423.0703125,682.9296875,492.740234375
2024-09-06,19926.62109375,18421.310546875,2024-11-25 01:26:51,19356.099609375,19514.58984375,-570.521484375,1093.279296875
