ticker,data,function,layers,c%,ca%
GSPC,211,huber_loss,2,51.18,77.7
GSPC,211,huber_loss,3,51.66,77.3
GSPC,211,huber_loss,4,45.97,71.85
GSPC,211,huber_loss,5,48.82,74.1
NDX,211,huber_loss,2,48.34,70.34
NDX,211,huber_loss,3,54.5,78.23
NDX,211,huber_loss,4,50.24,72.11
NDX,211,huber_loss,5,53.08,76.71
OMX,210,huber_loss,2,50.95,68.15
OMX,210,huber_loss,3,52.86,72.08
OMX,210,huber_loss,4,50.95,70.86
OMX,210,huber_loss,5,50.95,71.33
OMX,221,log_cosh,2,50.23,70.25
OMX,214,log_cosh,3,47.66,68.0
GSPC,212,log_cosh,2,51.89,78.57
GSPC,212,log_cosh,3,50.47,78.68
GSPC,211,log_cosh,4,50.71,76.43
GSPC,211,log_cosh,5,47.87,75.94
NDX,211,log_cosh,2,48.82,71.03
NDX,211,log_cosh,3,49.76,72.41
NDX,211,log_cosh,4,48.82,71.53
NDX,211,log_cosh,5,52.61,77.62
OMX,210,log_cosh,2,53.81,70.19
OMX,210,log_cosh,3,47.62,68.49
OMX,210,log_cosh,4,56.19,75.16
OMX,210,log_cosh,5,49.52,68.42
GSPC,211,mse,2,46.45,75.38
GSPC,211,mse,3,50.24,76.26
GSPC,211,mse,4,46.92,71.74
GSPC,211,mse,5,48.82,72.54
NDX,211,mse,2,52.13,75.34
NDX,211,mse,3,49.76,71.43
NDX,211,mse,4,46.92,71.22
NDX,211,mse,5,48.82,72.54
OMX,210,mse,2,53.81,73.38
OMX,210,mse,3,51.9,71.71
OMX,210,mse,4,51.9,70.78
OMX,210,mse,5,52.86,73.03
GSPC,211,mse,2,51.66,76.76
GSPC,211,mse,3,49.29,74.29
GSPC,211,mse,4,49.29,75.91
GSPC,211,mse,5,53.55,81.29
NDX,211,mse,2,54.03,75.0
NDX,211,mse,3,45.5,68.57
NDX,211,mse,4,51.18,75.0
NDX,211,mse,5,52.61,75.51
OMX,210,mse,2,49.05,67.76
OMX,210,mse,3,55.71,75.0
OMX,210,mse,4,50.0,70.95
OMX,210,mse,5,52.86,71.15
